"item_cd","unit_cd","mean_cf_nat"
1,1,0.00100000004749745
1,20,1
1,31,0.239999994635582
2,1,0.00100000004749745
2,20,1
2,31,0.19200000166893
3,1,0.00100000004749745
3,20,1
3,31,0.194999992847443
4,1,0.00100000004749745
4,20,1
4,31,0.217999994754791
5,1,0.00100000004749745
5,20,1
5,31,0.209999993443489
6,1,0.00100000004749745
6,20,1
6,31,0.185000002384186
7,1,0.00100000004749745
7,20,1
7,31,0.25
8,1,0.00100000004749745
8,20,1
8,31,0.254999995231628
9,1,0.00100000004749745
9,20,1
9,31,0.181999996304512
10,1,0.00100000004749745
10,20,1
10,31,0.185000002384186
11,1,0.00100000004749745
11,20,1
11,31,0.19200000166893
12,1,0.00100000004749745
12,20,1
12,31,0.180000007152557
13,1,0.00100000004749745
13,20,1
13,31,0.177000001072884
14,1,0.00100000004749745
14,4,0.180000007152557
14,20,1
15,1,0.00100000004749745
15,4,0.0900000035762787
15,20,1
16,1,0.00100000004749745
16,4,0.219999998807907
16,20,1
17,1,0.00100000004749745
17,11,4.07000017166138
17,12,8.14000034332275
17,20,1
17,32,1
18,1,0.00100000004749745
18,20,1
19,1,0.00100000004749745
19,3,0.00100000004749745
19,20,1
19,31,0.175999999046326
19,32,1
20,1,0.00100000004749745
20,3,0.00100000004749745
20,20,1
20,32,1
21,1,0.00100000004749745
21,4,0.0599999986588955
21,20,1
22,1,0.00100000004749745
22,20,1
22,31,0.319000005722046
23,1,0.00100000004749745
23,20,1
23,31,0.370999991893768
24,1,0.00100000004749745
24,3,0.00100000004749745
24,20,1
24,31,0.234999999403954
25,1,0.00100000004749745
25,11,0.810000002384186
25,20,1
