"holder_id","household_id","ea_id","parcel_id","field_id","rid","qa_type_plot","dist_household","plot_srtmslp","plot_srtm","plot_twi"
"0101010160100201","01010101601002","01010101601",1,1,1,1,0,5.16,1104,13
"0101010160100201","01010101601002","01010101601",1,3,3,1,0.01,5.25,1104,13
"0101010160100202","01010101601002","01010101601",1,1,8,3,0.8,2.26,1092,16
"0101010160101701","01010101601017","01010101601",1,1,10,1,0,1.92,1102,13
"0101010160101701","01010101601017","01010101601",1,2,11,1,0.02,2.19,1102,13
"0101010160106401","01010101601064","01010101601",1,1,20,1,0,6.08,1160,13
"0101010160108001","01010101601080","01010101601",1,1,22,1,0,4.18,1153,14
"0101010160110101","01010101601101","01010101601",1,1,24,1,0.03,5.15,1131,13
"0101010160110101","01010101601101","01010101601",1,4,27,1,0.06,5.03,1133,13
"0101010160110101","01010101601101","01010101601",1,6,29,1,0.08,5.8,1127,12
"0101010160110101","01010101601101","01010101601",1,8,31,1,7.11,5.12,1036,12
"0101010160110101","01010101601101","01010101601",1,9,32,1,0.1,5.54,1127,13
"0101010160110101","01010101601101","01010101601",1,11,34,1,0.08,3.61,1134,13
"0101010160110101","01010101601101","01010101601",2,1,35,1,2.39,2.17,1091,15
"0101010160111601","01010101601116","01010101601",1,1,36,1,0,8.66,1153,12
"0101010160111601","01010101601116","01010101601",1,3,38,1,0.04,9.59,1152,12
"0101010160111601","01010101601116","01010101601",2,1,40,1,2.82,8.11,1152,12
"0101010160111601","01010101601116","01010101601",2,2,41,1,0.03,9,1152,12
"0101010160111601","01010101601116","01010101601",3,1,42,1,0.11,11.75,1143,11
"0101010160113101","01010101601131","01010101601",1,2,46,1,0.04,2.43,1141,14
"0101010160113101","01010101601131","01010101601",1,3,47,1,0.08,3.15,1140,13
"0101010160113101","01010101601131","01010101601",2,4,48,1,0.05,2.24,1142,14
"0101010160113101","01010101601131","01010101601",3,1,49,1,0.19,6.2,1145,12
"0101010160114601","01010101601146","01010101601",1,1,50,1,0.05,5.09,1155,12
"0101010160114601","01010101601146","01010101601",1,3,52,1,0.05,5.43,1154,12
"0101010160114601","01010101601146","01010101601",1,4,53,1,0.04,6.78,1153,12
"0101020140300101","01010201403001","01010201403",1,1,56,1,0,15.07,1798,11
"0101020140300101","01010201403001","01010201403",1,2,57,1,0.03,16.06,1797,11
"0101020140300101","01010201403001","01010201403",1,3,58,1,0,14.77,1798,11
"0101020140300101","01010201403001","01010201403",1,5,60,1,0.05,18.45,1795,11
