"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","crop_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s10q01_a","ph_s10q01_b","ph_s10q01_c","ph_s10q01_d","ph_s10q01_e","ph_s10q01_f","ph_s10q01_g","ph_s10q01_h","ph_s10q01_i","ph_s10q02_a","ph_s10q02_b","ph_s10q02_c","ph_s10q02_d","ph_s10q02_e","ph_s10q02_f","ph_s10q02_g","ph_s10q02_h","ph_s10q02_i","ph_s10q02_j","ph_s10q02_k","ph_s10q02_l","ph_s10q02_m","ph_s10q02_n","ph_s10q02_o","ph_s10q02_p","ph_s10q02_q","ph_s10q02_r","ph_s10q02_s","ph_s10q02_t","ph_s10q02_u","ph_s10q02_v","ph_s10q02_w","ph_s10q02_x","ph_s10q02_y","ph_s10q02_z","ph_s10q02_ka","ph_s10q02_la","ph_s10q02_ma","ph_s10q02_na","ph_s10q02_oa","ph_s10q02_pa","ph_s10q03_a","ph_s10q03_b","ph_s10q03_c","ph_s10q03_d","ph_s10q03_e","ph_s10q03_f"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,1,16,1,2,1,"RED PEPPER",38,0,,,0,,,0,,,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,3,1,1,1,1,16,1,2,1,"MAIZE",2,0,,,0,,,0,,,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,4,1,1,1,1,16,1,2,1,"SORGHUM",6,2,1,120,0,,,0,,,1,1,3,10,2,1,3,10,3,1,3,10,4,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,5,2,1,1,1,16,1,2,1,"RED PEPPER",38,0,,,0,,,0,,,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,6,2,1,1,1,16,1,2,1,"MAIZE",2,0,,,0,,,0,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,7,3,1,1,1,16,1,2,1,"RED PEPPER",38,0,,,0,,,0,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,2,1,2,1,1,1,16,1,2,1,"SORGHUM",6,0,,,0,,,0,,,2,2,4,10,1,2,4,10,0,,,,0,,,,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,2,2,1,1,1,1,16,1,2,1,"MILLET",3,0,,,0,,,0,,,2,3,3,10,1,2,3,10,0,,,,0,,,,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,2,1,1,1,1,16,1,17,1,"MAIZE",2,0,,,0,,,0,,,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,3,1,1,1,1,16,1,17,1,"RED PEPPER",38,0,,,0,,,0,,,2,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,,0,,0,
