"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs10a2q01","cs10a2q04_a","cs10a2q04_b","cs10a2q04_c"
"01010101601",1,1,1,1,8,88,16,1,1,26,5,2004
"01010201403",1,1,1,2,8,88,14,3,2,26,5,2004
"01010300106",0,1,1,3,1,1,1,6,1,19,5,2004
"01010301804",1,1,1,3,8,88,18,4,1,27,5,2004
"01010500204",1,1,1,5,8,88,2,4,2,25,5,2004
"01010600402",1,1,1,6,8,88,4,2,2,20,5,2004
"01020100207",1,1,2,1,8,88,2,7,2,16,5,2004
"01020200802",1,1,2,2,8,88,8,2,2,19,5,2004
"01020301001",1,1,2,3,8,88,10,1,2,19,5,2004
"01020401702",1,1,2,4,8,88,17,2,2,,,
"01020601301",1,1,2,6,8,88,13,1,1,19,5,2004
"01020700101",0,1,2,7,8,88,1,1,2,20,5,2004
"01020800603",1,1,2,8,8,88,6,3,1,19,5,2004
"01020900602",1,1,2,9,8,88,6,2,2,17,5,2004
"01030100204",1,1,3,1,8,88,2,4,2,13,5,2004
"01030300605",1,1,3,3,8,88,6,5,1,22,5,2004
"01030400101",1,1,3,4,8,88,1,1,1,23,5,2004
"01030501202",1,1,3,5,8,88,12,2,2,12,5,2004
"01030600608",1,1,3,6,8,88,6,8,1,,,
"01030700116",0,1,3,7,1,0,1,16,2,17,5,2004
"01030700709",1,1,3,7,8,88,7,9,2,20,5,2004
"01040101204",1,1,4,1,8,88,12,4,1,19,5,2004
"01040300109",0,1,4,3,1,0,1,9,2,15,5,2004
"01040300404",1,1,4,3,8,88,4,4,2,16,5,2004
"01040400103",1,1,4,4,8,88,1,3,1,22,5,2004
"01040500701",1,1,4,5,8,88,7,1,2,18,5,2004
"01040600803",1,1,4,6,8,88,8,3,1,16,5,2004
"01040800402",1,1,4,8,8,88,4,2,2,15,5,2004
"01050100105",1,1,5,1,8,88,1,5,2,15,5,2004
"01050200201",1,1,5,2,8,88,2,1,2,17,5,2004
"01050200712",1,1,5,2,8,88,7,12,2,19,5,2004
"01050201503",1,1,5,2,8,88,15,3,2,4,6,2004
"01050301501",1,1,5,3,8,88,15,1,2,13,5,2004
"01050302304",1,1,5,3,8,88,23,4,2,20,5,2004
"02010200102",0,2,1,2,4,1,1,2,2,,,
"02010300102",1,2,1,3,8,88,1,2,2,22,5,2004
"02010300601",1,2,1,3,8,88,6,1,2,18,5,2004
"02010300802",1,2,1,3,8,88,8,2,,,,
"02010400201",1,2,1,4,8,88,2,1,1,16,5,2004
"02010500404",1,2,1,5,8,88,4,4,2,,,
"02010501103",1,2,1,5,8,88,11,3,2,26,5,2004
"02010600402",1,2,1,6,8,88,4,2,1,27,5,2004
"02030100101",0,2,3,1,1,1,1,1,1,22,5,2004
"02030200102",1,2,3,2,8,88,1,2,2,18,5,2004
"02030400601",1,2,3,4,8,88,6,1,1,21,5,2004
"02030600601",1,2,3,6,8,88,6,1,1,,,
"03010100204",1,3,1,1,8,88,2,4,1,17,5,2004
"03010400901",1,3,1,4,8,88,9,1,2,19,5,2004
"03010800701",1,3,1,8,8,88,7,1,1,24,5,2004
"03011001806",1,3,1,10,8,88,18,6,2,21,5,2004
"03011100102",0,3,1,11,8,88,1,2,1,26,5,2004
"03011200203",1,3,1,12,8,88,2,3,2,21,5,2004
"03011400816",1,3,1,14,8,88,8,16,2,17,5,2004
"03011602804",1,3,1,16,8,88,28,4,2,15,5,2004
"03012000105",0,3,1,20,1,1,1,5,,,,
"03020100703",1,3,2,1,8,88,7,3,1,19,5,2004
"03020202508",1,3,2,2,8,88,25,8,2,20,5,2004
"03020400906",1,3,2,4,8,88,9,6,2,19,5,2004
"03020501907",1,3,2,5,8,88,19,7,2,,,
"03020703703",1,3,2,7,8,88,37,3,1,,,
"03020900104",0,3,2,9,1,1,1,4,2,24,5,2004
"03020900708",1,3,2,9,8,88,7,8,2,,,
"03030100204",1,3,3,1,8,88,2,4,2,19,5,2004
"03030200108",0,3,3,2,2,2,1,8,2,16,5,2004
"03030202104",1,3,3,2,8,88,21,4,2,19,5,2004
"03030302404",1,3,3,3,8,88,24,4,2,19,5,2004
"03030400906",1,3,3,4,8,88,9,6,2,15,5,2004
"03030501101",1,3,3,5,8,88,11,1,1,21,5,2004
"03030701002",1,3,3,7,8,88,10,2,1,17,5,2004
"03030801617",1,3,3,8,8,88,16,17,1,19,5,2004
"03031001701",1,3,3,10,8,88,17,1,1,18,5,2004
"03040301401",1,3,4,3,8,88,14,1,2,12,6,2004
"03040600801",1,3,4,6,8,88,8,1,2,5,6,2004
"03040901203",1,3,4,9,8,88,12,3,2,11,6,2004
"03041100903",1,3,4,11,8,88,9,3,1,23,5,2004
"03041200105",0,3,4,12,1,0,1,5,2,22,5,2004
"03041402101",1,3,4,14,8,88,21,1,2,14,5,2004
"03041600204",1,3,4,16,8,88,2,4,1,10,6,2004
"03050101504",1,3,5,1,8,88,15,4,3,29,5,2004
"03050400305",1,3,5,4,8,88,3,5,1,25,5,2004
"03050701204",1,3,5,7,8,88,12,4,1,20,5,2004
"03050900104",0,3,5,9,2,1,1,4,1,19,5,2004
"03051100307",1,3,5,11,8,88,3,7,1,17,5,2004
"03051300702",1,3,5,13,8,88,7,2,3,22,5,2004
"03051500703",1,3,5,15,8,88,7,3,,,,
"03052100808",1,3,5,21,8,88,8,8,1,22,5,2004
"03060202603",1,3,6,2,8,88,26,3,1,19,5,2004
"03060402001",1,3,6,4,8,88,20,1,2,,,
"03060602103",1,3,6,6,8,88,21,3,2,14,5,2004
"03060901807",1,3,6,9,8,88,18,7,2,21,5,2004
"03061102207",1,3,6,11,8,88,22,7,1,18,5,2004
"03061400105",0,3,6,14,8,88,1,5,2,23,5,2004
"03061601207",1,3,6,16,8,88,12,7,2,,,
"03070101406",1,3,7,1,8,88,14,6,2,14,5,2004
"03070300105",1,3,7,3,8,88,1,5,2,17,5,2004
"03070401302",1,3,7,4,8,88,13,2,1,16,5,2004
"03070500105",0,3,7,5,8,88,1,5,2,1,6,2004
"03070502405",1,3,7,5,8,88,24,5,2,17,5,2004
"03070801402",1,3,7,8,8,88,14,2,2,20,5,2004
"03071001703",1,3,7,10,8,88,17,3,2,,,
"03071301304",1,3,7,13,8,88,13,4,2,17,5,2004
"03080201503",1,3,8,2,8,88,15,3,2,26,5,2004
"03080300107",0,3,8,3,1,1,1,7,1,26,5,2004
"03080300603",1,3,8,3,8,88,6,3,2,21,5,2004
