"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s11q01","ph_s11q02_a","ph_s11q02_b","ph_s11q03_a","ph_s11q03_b","ph_s11q04_a","ph_s11q04_b","ph_s11q05_a","ph_s11q05_b","ph_s11q06_a","ph_s11q06_b","ph_s11q07","ph_s11q08","ph_s11q09","ph_s11q10_a","ph_s11q10_b","ph_s11q11_a","ph_s11q11_b","ph_s11q12_a","ph_s11q12_b","ph_s11q13_a","ph_s11q13_b","ph_s11q14_a","ph_s11q14_b","ph_s11q15_a","ph_s11q15_b","ph_s11q15_c","ph_s11q16_a","ph_s11q16_b","ph_s11q17","ph_s11q18","ph_s11q19_a","ph_s11q19_b","ph_s11q20_a","ph_s11q20_b","ph_s11q21_a","ph_s11q21_b","ph_s11q22_a","ph_s11q22_b","ph_s11q22_c","ph_s11q22_d","ph_s11q22_e","ph_s11q22_f","ph_s11q22_g"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0,0,0,0,,,1,3,400,0,4,,1,3,95,5,0,0,0,0,100
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,"MILLET",3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0,0,,,1,3,60,0,4,,1,3,95,5,0,0,0,0,100
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,"SORGHUM",6,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,,0,0,0,,,1,3,18,0,4,,1,3,95,5,0,0,0,0,100
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,0,0,0,,,1,3,3,0,4,,1,3,95,5,0,0,0,0,100
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,"MILLET",3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,40,0,0,0,0,,,1,3,100,0,4,,1,3,95,5,0,0,0,0,100
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,"SORGHUM",6,1,"N01",,100,0,420,,1,,5,2004,1,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,,1,3,100,0,4,,1,3,80,5,15,0,0,0,100
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,16,1,34,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,3,6,0,,,1,3,95,5,0,0,0,0,100
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,0,,,,,2,,,,,,1,,100,0,0,0,0,0,100
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,,,2,,,,,,1,,100,0,0,0,0,0,100
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,1,"MAIZE",2,2,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,,2,,,,,,1,,100,0,0,0,0,0,100
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,0,0,,,,1,3,20,0,4,,1,3,95,5,0,0,0,0,100
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,"MILLET",3,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0,0,0,,,,1,3,100,0,4,,1,3,85,15,0,0,0,0,100
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,"SORGHUM",6,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0,0,0,,,,1,3,300,0,4,,1,3,85,15,0,0,0,0,100
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,"SESAME",27,1,"N01",,130,0,1970,,1,2,5,2004,1,6,0,0,0,0,0,0,0,0,0,10,0,0,0,,,,1,3,10,0,4,,2,3,10,0,90,0,0,0,100
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,0,0,0,,,1,3,4,0,4,,1,3,90,10,0,0,0,0,100
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,"MILLET",3,1,"N01",,19,0,80,,1,,5,2004,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,,1,3,30,0,4,,1,2,80,20,0,0,0,0,100
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,"SORGHUM",6,1,"N01",,40,0,140,,1,,5,2004,1,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,,1,3,400,0,4,,1,2,80,20,0,0,0,0,100
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,"SESAME",27,1,"N01",,60,0,1160,,1,,5,2004,1,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,1,3,10,0,4,,2,3,5,5,90,0,0,0,100
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,1,1,16,1,131,1,"SORGHUM",6,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0,0,0,0,,,1,5,200,0,4,,1,3,80,20,0,0,0,0,100
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,1,1,16,1,131,1,"SESAME",27,1,"N01",,20,0,270,,1,,3,2004,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,1,5,20,0,4,,1,3,20,5,75,0,0,0,100
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,1,1,16,1,146,1,"MAIZE",2,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,0,,,1,2,11,0,4,,1,3,95,5,0,0,0,0,100
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,1,1,16,1,146,1,"SORGHUM",6,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,0,0,0,,,1,2,50,0,4,,1,3,95,5,0,0,0,0,100
