"household_id","ea_id","rural","pw","ent_id","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s11bq00","hh_s11bq01_a","hh_s11bq01_b","hh_s11bq01_c","hh_s11bq02","hh_s11bq03_a","hh_s11bq03_b","hh_s11bq04_a","hh_s11bq04_b","hh_s11bq05_a","hh_s11bq05_b","hh_s11bq06_a","hh_s11bq06_b","hh_s11bq07","hh_s11bq08_a","hh_s11bq08_b","hh_s11bq08_c","hh_s11bq09","hh_s11bq10","hh_s11bq11","hh_s11bq12_a","hh_s11bq12_b","hh_s11bq12_c","hh_s11bq12_d","hh_s11bq12_e","hh_s11bq13","hh_s11bq14","hh_s11bq15","hh_s11bq16_a","hh_s11bq16_b","hh_s11bq16_c","hh_s11bq17"
"01010101601049","01010101601",1,2236.13452148438,"0101010160104901",1,1,1,8,88,16,1,49,1,,7,4,1,1,,2,,4,2004,1,,2,4,,,2,8,0,1,,,,,160,100,2,,,,2
"01010101601080","01010101601",1,2236.13452148438,"0101010160108001",1,1,1,8,88,16,1,80,1,,7,4,1,1,,1,,5,2003,1,,2,5,4,3,12,4,0,1,,,,,210,160,2,73,,,2
"01010101601080","01010101601",1,2236.13452148438,"0101010160108002",1,1,1,8,88,16,1,80,2,,5,7,1,1,,7,,1,2004,1,,2,1,2,3,5,30,0,1,,,,,1440,1200,3,73,,,2
"01010101601087","01010101601",1,1887.64611816406,"0101010160108701",1,1,1,8,88,16,1,87,1,,5,7,1,1,2,5,,1,2004,1,,2,5,,,5,15,0,1,2,,,,1300,600,4,73,,,1
"01010101601101","01010101601",1,2236.13452148438,"0101010160110101",1,1,1,8,88,16,1,101,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01010101601131","01010101601",1,2236.13452148438,"0101010160113101",1,1,1,8,88,16,1,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01010101601162","01010101601",1,1887.64611816406,"0101010160116201",1,1,1,8,88,16,1,162,1,,5,7,1,1,,3,,9,2003,1,,1,9,,,9,18,0,1,,,,,500,300,4,71,73,,2
"01010201403046","01010201403",1,2607.7529296875,"0101020140304601",1,1,2,8,88,14,3,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01010300106052","01010300106",0,768.159851074219,"0101030010605201",1,1,3,1,1,1,6,52,1,,5,7,3,1,,2,,4,1974,2,1,2,5,6,4,6,20,0,1,2,,,,2040,1680,3,71,,,2
"01010300106052","01010300106",0,768.159851074219,"0101030010605202",1,1,3,1,1,1,6,52,2,,5,15,4,2,,10,,3,2000,1,2,2,1,5,12,2,4,0,3,,,,,160,80,,,,,
"01010300106064","01010300106",0,768.159851074219,"0101030010606401",1,1,3,1,1,1,6,64,1,,5,4,1,1,,8,,6,1999,2,3,2,6,7,9,3,4,0,1,2,,,,2100,1800,2,71,32,82,2
"01010300106076","01010300106",0,768.159851074219,"0101030010607601",1,1,3,1,1,1,6,76,1,,5,7,1,2,,7,,11,1999,2,1,2,11,4,5,3,18,0,2,,,,,150,100,2,75,73,12,2
"01010300106076","01010300106",0,768.159851074219,"0101030010607602",1,1,3,1,1,1,6,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01010300106088","01010300106",0,768.159851074219,"0101030010608801",1,1,3,1,1,1,6,88,1,,5,7,4,1,,7,,1,1999,2,1,2,5,6,4,12,30,0,1,2,3,,,3800,3000,5,11,43,131,1
"01010300106100","01010300106",0,768.159851074219,"0101030010610001",1,1,3,1,1,1,6,100,1,,5,7,1,2,,10,,5,2002,1,,2,12,1,5,3,5,0,2,,,,,200,150,2,11,12,81,2
"01010300106112","01010300106",0,768.159851074219,"0101030010611201",1,1,3,1,1,1,6,112,1,,5,4,2,2,,1,,10,1960,1,2,2,9,1,7,8,8,1,2,3,,,,5600,4800,3,,,,2
"01010300106136","01010300106",0,768.159851074219,"0101030010613601",1,1,3,1,1,1,6,136,1,,5,4,1,2,8,7,,7,35,2,1,2,6,7,9,12,4,0,2,8,,,,1020,1960,2,,,,2
"01010300106136","01010300106",0,768.159851074219,"0101030010613602",1,1,3,1,1,1,6,136,2,,5,7,1,4,,2,9,6,1997,1,2,2,6,7,9,12,30,0,4,,,,,1840,11544,3,81,131,73,1
"01010300106136","01010300106",0,768.159851074219,"0101030010613603",1,1,3,1,1,1,6,136,3,,5,4,4,6,,7,,4,1999,1,2,2,5,6,4,12,30,0,6,,,,,600,300,1,,,,2
"01010500204097","01010500204",1,3071.13232421875,"0101050020409701",1,1,5,8,88,2,4,97,1,,5,7,5,1,,1,2,1,2000,7,,2,1,11,12,12,27,0,1,,,,,26500,23000,2,81,83,,1
"01010500204121","01010500204",1,3071.13232421875,"0101050020412101",1,1,5,8,88,2,4,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01010500204142","01010500204",1,1950.92431640625,"0101050020414201",1,1,5,8,88,2,4,142,1,,5,7,5,1,,2,9,11,2001,3,,2,1,11,12,10,20,0,1,,,,,33000,26400,4,81,82,,1
"01010500204145","01010500204",1,3071.13232421875,"0101050020414501",1,1,5,8,88,2,4,145,1,,7,4,1,1,2,1,2,5,2003,1,3,2,11,12,1,10,30,,1,2,,,,6000,2500,4,81,82,0,1
"01010500204182","01010500204",1,1950.92431640625,"0101050020418201",1,1,5,8,88,2,4,182,1,,7,4,1,1,,2,,12,2002,1,,2,10,11,12,12,27,,1,,,,,5200,3000,3,81,82,,2
"01020100207002","01020100207",1,2697.60473632813,"0102010020700201",1,2,1,8,88,2,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01020100207027","01020100207",1,2697.60473632813,"0102010020702701",1,2,1,8,88,2,7,27,1,,3,,7,4,5,2,,10,2002,3,1,1,11,12,,7,4,0,4,5,,,,250,50,2,81,82,,2
"01020100207032","01020100207",1,2697.60473632813,"0102010020703201",1,2,1,8,88,2,7,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01020200802017","01020200802",1,3456.86206054688,"0102020080201701",1,2,2,8,88,8,2,17,1,,7,,3,1,,1,,7,2002,3,,1,5,6,7,4,10,0,,,,,,700,8000,2,81,,,
"01020200802033","01020200802",1,3456.86206054688,"0102020080203301",1,2,2,8,88,8,2,33,1,,6,,3,1,,1,,6,2003,2,,1,6,,,5,10,0,,,,,,600,6000,2,81,,,2
"01020200802063","01020200802",1,3456.86206054688,"0102020080206301",1,2,2,8,88,8,2,63,1,,7,,3,7,,1,,4,1992,1,,1,5,6,7,5,10,0,,,,,,500,2000,1,81,82,,2
