"individual_id","holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s1q00","ph_s1q02","ph_s1q03","ph_s1q04","ph_s1q05"
"0101010160100201","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,1,77,2,3,"X"
"0101010160100202","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,2,40,1,3,"X"
"0101010160100203","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,3,35,2,4,
"0101010160100204","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,4,18,2,4,
"0101010160100205","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,5,13,1,4,
"0101010160100206","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,6,9,2,4,
"0101010160100207","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,7,5,1,4,
"0101010160100208","0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,8,3,2,4,
"0101010160101701","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,1,36,1,3,"X"
"0101010160101702","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,2,31,2,4,
"0101010160101703","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,3,13,1,4,
"0101010160101704","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,4,11,1,4,
"0101010160101705","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,5,9,2,4,
"0101010160101706","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,6,7,2,4,
"0101010160101707","0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,7,5,1,4,
"0101010160103401","0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,16,1,34,1,1,70,2,3,"X"
"0101010160104901","0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,1,1,30,2,1,"X"
