"individual_id","ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs2q01","cs2q03","cs2q04","cs2q05_a","cs2q05_b","cs2q06","cs2q07"
"0101010160101","01010101601",1,1,1,1,8,88,16,1,1,1,28,6,,4,4
"0101010160102","01010101601",1,1,1,1,8,88,16,1,2,1,32,2,,32,2
"0101010160103","01010101601",1,1,1,1,8,88,16,1,3,1,53,1,,41,2
"0101010160104","01010101601",1,1,1,1,8,88,16,1,4,1,30,7,,3,4
"0101010160105","01010101601",1,1,1,1,8,88,16,1,5,1,26,5,,6,4
"0101010160106","01010101601",1,1,1,1,8,88,16,1,6,1,28,4,,3,4
"0101020140301","01010201403",1,1,1,2,8,88,14,3,1,1,26,1,,2,4
"0101020140302","01010201403",1,1,1,2,8,88,14,3,2,1,26,6,,0,4
"0101020140303","01010201403",1,1,1,2,8,88,14,3,3,1,56,11,,10,3
"0101020140304","01010201403",1,1,1,2,8,88,14,3,4,1,40,11,,14,2
"0101020140305","01010201403",1,1,1,2,8,88,14,3,5,1,46,2,,46,2
"0101020140306","01010201403",1,1,1,2,8,88,14,3,6,1,26,5,,2,4
"0101020140307","01010201403",1,1,1,2,8,88,14,3,7,1,30,4,,0,4
"0101020140308","01010201403",1,1,1,2,8,88,14,3,8,2,33,7,,5,4
"0101030010601","01010300106",0,1,1,3,1,1,1,6,1,1,52,1,,2,2
"0101030010602","01010300106",0,1,1,3,1,1,1,6,2,1,70,3,,40,2
"0101030010603","01010300106",0,1,1,3,1,1,1,6,3,1,48,4,,18,5
"0101030010604","01010300106",0,1,1,3,1,1,1,6,4,1,45,5,,18,4
"0101030010605","01010300106",0,1,1,3,1,1,1,6,5,1,38,6,,16,2
"0101030010606","01010300106",0,1,1,3,1,1,1,6,6,2,48,7,,16,4
"0101030180401","01010301804",1,1,1,3,8,88,18,4,1,1,28,1,,28,4
"0101030180402","01010301804",1,1,1,3,8,88,18,4,2,1,30,6,,30,4
"0101030180403","01010301804",1,1,1,3,8,88,18,4,3,1,30,2,,30,4
"0101030180404","01010301804",1,1,1,3,8,88,18,4,4,1,48,11,,48,3
"0101030180405","01010301804",1,1,1,3,8,88,18,4,5,1,40,9,,40,2
"0101030180406","01010301804",1,1,1,3,8,88,18,4,6,2,24,5,,5,4
"0101030180407","01010301804",1,1,1,3,8,88,18,4,7,1,28,4,,1,4
"0101050020401","01010500204",1,1,1,5,8,88,2,4,1,1,38,1,,3,4
"0101050020402","01010500204",1,1,1,5,8,88,2,4,2,1,30,6,,1,4
"0101050020403","01010500204",1,1,1,5,8,88,2,4,3,1,39,3,,10,5
"0101050020404","01010500204",1,1,1,5,8,88,2,4,4,1,29,2,9,9,3
"0101050020405","01010500204",1,1,1,5,8,88,2,4,5,1,45,2,,4,5
"0101050020406","01010500204",1,1,1,5,8,88,2,4,6,1,32,8,,32,2
"0101050020407","01010500204",1,1,1,5,8,88,2,4,7,1,35,11,,15,3
"0101050020408","01010500204",1,1,1,5,8,88,2,4,8,2,18,2,,18,2
"0101060040201","01010600402",1,1,1,6,8,88,4,2,1,1,26,6,,1,4
"0101060040202","01010600402",1,1,1,6,8,88,4,2,2,1,48,9,,20,2
"0101060040203","01010600402",1,1,1,6,8,88,4,2,3,1,38,2,,20,1
"0101060040204","01010600402",1,1,1,6,8,88,4,2,4,2,39,11,,0,4
"0101060040205","01010600402",1,1,1,6,8,88,4,2,5,1,40,6,,0,4
"0101060040206","01010600402",1,1,1,6,8,88,4,2,6,2,30,3,,20,1
"0101060040207","01010600402",1,1,1,6,8,88,4,2,7,1,39,2,,30,1
