"holder_id","household_id","ea_id","rural","pw","parcel_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_s2q02","pp_s2q03","pp_s2q04","pp_s2q05_a","pp_s2q05_b","pp_s2q06_a","pp_s2q06_b","pp_s2q07_a","pp_s2q07_b","pp_s2q08","pp_s2q09_a","pp_s2q09_b","pp_s2q10","pp_s2q11","pp_s2q12","pp_s2q13_a","pp_s2q13_b"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,1,16,1,2,1,7,1,1,6,1979,1,,,,,,,2,640,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,1,16,1,2,2,2,2,1,6,1989,2,,,,,,,2,740,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,1,16,1,17,1,3,4,,,,,,,,,,,,280,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,2,1,1,1,16,1,17,1,1,4,,,,,,,,,,,,200,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,3,1,1,1,16,1,17,1,1,3,,,,,,80,,3,"N01",,,,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,4,1,1,1,16,1,17,1,1,1,1,9,2002,1,,,,,,,2,120,,,
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,1,16,1,34,1,2,10,,,,,,,,,,,,360,,,
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,1,16,1,49,1,2,3,,,,,,500,,3,"N01",,,,,,
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,1,16,1,64,1,2,1,1,6,1979,1,,,,,,,2,600,,,
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,1,16,1,80,1,2,3,,,,,,,2400,3,"N01",,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,1,16,1,101,1,11,3,,,,,,2360,,3,"N01",,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,2,1,1,1,16,1,101,1,1,3,,,,,,600,,3,"N02",,,,,,
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,1,16,1,116,1,4,1,1,6,1979,1,,,,,,,2,1220,,,
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,2,1,1,1,16,1,116,1,2,3,,,,,,400,,3,"N02",,,,,,
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,3,1,1,1,16,1,116,1,1,3,,,,,,400,,3,"N03",,,,,,
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,4,1,1,1,16,1,116,1,2,3,,,,,,200,,3,"N03",,,,,,
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,1,1,1,16,1,131,1,3,1,1,9,1995,1,,,,,,,2,1000,,,
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,2,1,1,1,16,1,131,1,1,3,,,,,,400,,3,"N01",,,,,,
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,3,1,1,1,16,1,131,1,1,3,,,,,,300,,3,"N02",,,,,,
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,4,1,1,1,16,1,131,1,1,3,,,,,,400,,3,"N03",,,,,,
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,1,1,1,16,1,146,1,6,1,1,6,1979,1,,,,,,,2,520,,,
