"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs3q01","cs3q02","cs3q03","cs3q04_a","cs3q04_b","cs3q04_c","cs3q04_d","cs3q04_e","cs3q04_f","cs3q05","cs3q06","cs3q07","cs3q08","cs3q09","cs3q10","cs3q11","cs3q12_a","cs3q12_b","cs3q12_c","cs3q12_d","cs3q12_e","cs3q12_f"
"01010101601",1,1,1,1,8,88,16,1,1,19119,3140,1,3120,4,20,,,1,0,2,2,39,0,14,3,3100,2,40,,
"01010201403",1,1,1,2,8,88,14,3,2,7738,1563,1,1554,4,9,,,1,0,2,3,25,0,2,3,1508,1,35,2,20
"01010300106",0,1,1,3,1,1,1,6,1,8271,1871,1,1258,2,610,3,3,1,1,6,5,0,0,0,3,1250,2,350,1,271
"01010301804",1,1,1,3,8,88,18,4,2,8404,1912,1,1892,4,20,,,1,5,2,4,25,0,25,3,1608,1,189,2,95
"01010500204",1,1,1,5,8,88,2,4,1,4400,1174,3,1174,,,,,1,1,2,5,0,8,10,1,1174,,,,
"01010600402",1,1,1,6,8,88,4,2,1,6828,985,3,985,,,,,1,0,2,1,6,0,4,1,985,,,,
"01020100207",1,1,2,1,8,88,2,7,2,6698,1298,1,1298,,,,,1,2,2,5,10,0,24,1,1178,3,120,,
"01020200802",1,1,2,2,8,88,8,2,2,6316,1324,1,1324,,,,,1,5,2,5,42,0,5,1,1189,3,135,,
"01020301001",1,1,2,3,8,88,10,1,2,5639,1228,1,1228,,,,,3,0,2,5,38,0,9,1,1028,3,200,,
"01020401702",1,1,2,4,8,88,17,2,2,5703,1178,1,1178,,,,,1,0,2,1,3,0,68,1,1178,,,,
"01020601301",1,1,2,6,8,88,13,1,1,9536,2233,1,2018,4,215,,,3,0,2,3,42,0,8,1,2225,3,8,,
"01020700101",0,1,2,7,8,88,1,1,1,2628,2074,1,1556,4,518,,,1,8,3,5,0,0,2,3,1451,1,416,2,207
"01020800603",1,1,2,8,8,88,6,3,3,6472,1354,1,1354,,,,,3,0,2,5,10,0,37,1,975,3,325,,
"01020900602",1,1,2,9,8,88,6,2,3,9169,1982,1,1982,,,,,1,0,2,2,20,0,18,1,1189,2,793,,
"01030100204",1,1,3,1,8,88,2,4,2,8412,1813,1,1631,2,128,4,54,1,0,2,2,20,2,10,1,28,1,50,,
"01030300605",1,1,3,3,8,88,6,5,2,5675,836,1,835,,,,,1,0,2,2,25,10,15,1,835,2,1,,
"01030400101",1,1,3,4,8,88,1,1,2,6070,1375,1,1364,4,11,,,1,0,2,1,45,0,55,1,1375,,0,,0
"01030501202",1,1,3,5,8,88,12,2,2,4497,922,1,922,,,,,1,0,2,1,1,0,0,2,922,,,,
"01030600608",1,1,3,6,8,88,6,8,2,10399,2035,1,2035,,,,,1,0,2,2,25,10,30,1,2035,,,,
"01030700116",0,1,3,7,1,0,1,16,2,13500,2700,1,1391,4,1264,3,45,1,0,1,5,0,0,0,2,100,1,1000,3,700
"01030700709",1,1,3,7,8,88,7,9,2,8514,,3,2144,,,,,3,0,1,3,10,0,15,2,2000,1,144,,
"01040101204",1,1,4,1,8,88,12,4,2,6087,1283,1,1283,,0,,0,3,0,1,1,10,0,20,1,1180,3,28,,0
"01040300109",0,1,4,3,1,0,1,9,2,13107,3020,1,2955,4,65,,,1,0,2,1,10,5,10,2,2718,3,15,,
"01040300404",1,1,4,3,8,88,4,4,2,6591,1329,1,1329,,,,,1,0,2,3,10,0,33,1,890,3,190,2,132
"01040400103",1,1,4,4,8,88,1,3,4,2802,629,1,629,,,,,3,0,7,5,60,31,9,1,400,2,229,,
"01040500701",1,1,4,5,8,88,7,1,2,4503,983,1,983,,,,,1,0,4,3,12,0,1,1,983,,,,
"01040600803",1,1,4,6,8,88,8,3,1,10472,2380,2,2047,3,333,,,3,10,2,1,15,0,25,1,1380,2,1000,,
"01040800402",1,1,4,8,8,88,4,2,2,5680,1335,1,1335,,,,,3,0,1,3,50,0,13,1,1175,2,160,,
"01050100105",1,1,5,1,8,88,1,5,1,8245,2190,1,2102,4,88,,,1,11,1,1,1,63,17,1,2146,3,44,,
"01050200201",1,1,5,2,8,88,2,1,1,3010,726,1,637,4,89,,,1,3,1,1,0,13,86,1,724,3,2,,
"01050200712",1,1,5,2,8,88,7,12,2,6585,1317,1,1288,4,29,,,1,1,2,3,25,2,13,1,543,2,327,3,86
"01050201503",1,1,5,2,8,88,15,3,2,12203,2175,1,2149,4,26,,,1,0,2,5,5,6,17,1,831,2,138,3,26
"01050301501",1,1,5,3,8,88,15,1,1,4905,904,3,868,2,36,,,1,0,6,5,36,3,51,1,324,3,13,2,9
"01050302304",1,1,5,3,8,88,23,4,3,6700,1101,1,1091,4,10,,,3,2,2,2,5,12,33,1,1101,,,,
"02010200102",0,2,1,2,4,1,1,2,3,4000,1000,4,700,3,300,,,3,10,1,5,1,1,1,1,1000,,,,
"02010300102",1,2,1,3,8,88,1,2,1,4800,2800,4,2800,,,,,1,50,1,1,80,0,10,3,2800,,,,
"02010300601",1,2,1,3,8,88,6,1,4,2400,600,4,600,,,,,3,30,2,1,1,1,2,3,400,1,200,,
"02010300802",1,2,1,3,8,88,8,2,1,4000,700,4,700,,,,,3,50,2,1,2,1,1,3,400,1,300,,
"02010400201",1,2,1,4,8,88,2,1,1,7000,1500,4,1500,,,,,3,50,7,1,2,2,2,3,1000,1,500,,
"02010500404",1,2,1,5,8,88,4,4,4,2500,1050,4,1050,,,,,3,20,1,5,25,2,33,1,850,4,200,,
"02010501103",1,2,1,5,8,88,11,3,1,12000,3400,4,3399,3,1,,,1,50,4,2,80,0,0,1,600,,0,,
"02010600402",1,2,1,6,8,88,4,2,2,3850,550,4,550,,,,,1,5,4,1,25,0,25,1,550,,,,
"02030100101",0,2,3,1,1,1,1,1,1,7,3800,2,2000,3,1800,,,3,33,1,1,80,18,2,1,3230,3,190,,
"02030200102",1,2,3,2,8,88,1,2,1,3000,600,2,590,3,10,,,1,17,2,1,90,5,5,1,590,3,10,,
"02030400601",1,2,3,4,8,88,6,1,1,6000,580,4,570,,,,,1,20,1,1,75,15,10,1,400,3,170,4,10
"02030600601",1,2,3,6,8,88,6,1,1,1363,327,1,177,4,150,,,1,100,2,2,20,0,10,3,327,,,,
"03010100204",1,3,1,1,8,88,2,4,2,8836,856,1,846,2,10,,,2,0,2,2,10,0,1,1,856,,,,
"03010400901",1,3,1,4,8,88,9,1,4,5731,1221,3,1170,2,51,,,3,10,2,2,20,0,10,1,1140,,,,
"03010800701",1,3,1,8,8,88,7,1,4,3396,550,4,550,,,,,3,0,2,5,8,0,7,1,450,,,,
"03011001806",1,3,1,10,8,88,18,6,4,4838,1125,3,1125,,,,,1,0,2,5,10,0,5,1,915,,,,
"03011100102",0,3,1,11,8,88,1,2,1,4541,1869,1,1623,4,246,,,3,5,6,2,0,1,3,1,1869,,,,
"03011200203",1,3,1,12,8,88,2,3,2,2333,388,1,388,,,,,3,8,2,3,4,0,25,1,388,,,,
"03011400816",1,3,1,14,8,88,8,16,1,13566,8235,1,7000,2,1235,,,3,10,4,1,15,10,20,1,8235,,,,
"03011602804",1,3,1,16,8,88,28,4,4,5922,1185,1,1185,,,,,1,0,2,5,10,0,2,1,927,,,,
"03012000105",0,3,1,20,1,1,1,5,1,7014,2100,1,1890,4,210,,,3,0,3,1,1,0,5,1,1800,,,,
"03020100703",1,3,2,1,8,88,7,3,4,4294,1100,1,1100,,,,,1,0,2,4,15,0,10,1,950,,,,
"03020202508",1,3,2,2,8,88,25,8,2,5729,1245,1,1245,,,,,1,1,2,1,10,0,2,1,1245,,,,
"03020400906",1,3,2,4,8,88,9,6,2,6492,1648,1,1648,,,,,1,0,2,5,2,0,10,1,1648,,,,
"03020501907",1,3,2,5,8,88,19,7,4,8782,1756,1,1731,4,25,,,3,0,4,5,7,88,5,1,700,,,,
"03020703703",1,3,2,7,8,88,37,3,4,6651,1450,1,1020,4,430,,,3,0,4,2,15,80,5,1,1060,,,,
"03020900104",0,3,2,9,1,1,1,4,1,13000,1700,4,1050,1,630,3,20,3,5,3,1,0,0,25,1,600,2,380,3,5
"03020900708",1,3,2,9,8,88,7,8,3,7524,1558,1,1558,,,,,3,0,4,5,3,88,9,1,1400,,,,
"03030100204",1,3,3,1,8,88,2,4,2,8743,7943,1,7943,,,,,3,20,2,5,30,10,15,1,7689,3,354,,
"03030200108",0,3,3,2,2,2,1,8,1,9929,1200,1,1030,4,170,,,1,0,6,5,3,60,13,1,1200,2,4,,
"03030202104",1,3,3,2,8,88,21,4,2,7267,2000,4,1800,1,200,,,1,8,4,5,1,85,2,1,2000,,,,
"03030302404",1,3,3,3,8,88,24,4,2,9967,3500,1,3500,,,,,3,0,2,3,7,3,15,1,3500,,,,
"03030400906",1,3,3,4,8,88,9,6,2,9843,1293,1,1243,3,50,,,1,2,4,5,1,75,12,1,1293,,,,
"03030501101",1,3,3,5,8,88,11,1,2,4897,1274,1,1274,,,,,3,10,2,1,10,5,5,1,1049,3,125,,
"03030701002",1,3,3,7,8,88,10,2,2,4820,1120,1,1100,4,20,,,3,0,2,5,10,2,20,1,1120,,,,
"03030801617",1,3,3,8,8,88,16,17,2,5351,1445,4,1385,1,60,,,1,0,2,2,5,5,5,3,1445,,,,
"03031001701",1,3,3,10,8,88,17,1,2,5552,1507,1,1492,4,15,,,3,15,2,5,10,5,5,1,1237,3,270,,
"03040301401",1,3,4,3,8,88,14,1,2,4656,1207,4,1146,1,61,,,3,1,2,5,29,5,2,1,1207,,,,
"03040600801",1,3,4,6,8,88,8,1,2,7857,1343,4,1341,1,2,,,3,0,2,5,15,5,0,1,1323,3,20,,
"03040901203",1,3,4,9,8,88,12,3,2,3301,698,4,692,1,6,,,3,2,2,5,9,0,13,1,695,,,,
"03041100903",1,3,4,11,8,88,9,3,2,6664,1534,1,1000,4,534,,,3,2,2,5,51,0,19,1,1100,3,434,,
"03041200105",0,3,4,12,1,0,1,5,1,4788,613,1,400,4,213,,,1,3,3,2,1,1,2,1,350,3,250,2,13
"03041402101",1,3,4,14,8,88,21,1,2,3014,669,4,668,1,1,,,3,15,2,5,5,0,0,1,600,3,69,,
"03041600204",1,3,4,16,8,88,2,4,2,3777,615,1,400,4,215,,,3,2,2,5,1,1,2,1,365,3,250,,
"03050101504",1,3,5,1,8,88,15,4,1,4131,681,1,377,4,104,,,3,0,4,5,7,2,7,1,681,,,,
