"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","pp_rcq02_a","pp_rcq02_b","pp_rcq03_a","pp_rcq03_b","pp_rcq04","pp_rcq05","pp_rcq06_a","pp_rcq06_b","pp_rcq07_a","pp_rcq07_b","pp_rcq08","pp_rcq09"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,2,1,,,,,,,,,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,1,69,99,2,42,,,,,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,2,1,,,,,,,,,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,2,1,5946,89,3,14,2,330,9,12,3,7,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,2,1,20,20,2,13,,,,,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,6,1,1,1,16,1,2,1,154,51,2,24,,,,,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,7,1,1,1,16,1,2,1,18,8,2,99,,,,,,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,2,2,,,,,,,,,,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,2,7751,70,0,55,1,190,23,25,2,3,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,17,1,,,,,,,,,,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,17,1,,,,,,,,,,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,17,1,82,85,2,55,,,,,,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,17,1,1525,16,3,54,1,21,18,30,2,4,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,3,1,1,1,1,16,1,17,1,6532,52,2,38,4,203,18,36,2,4,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,4,1,1,1,1,16,1,17,1,,,,,,,,,,,,
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,34,1,73,53,2,87,,,,,,,,
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,34,1,100,29,3,92,,,,,,,,
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,49,1,69,10,3,41,,,,,,,,
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,49,1,39,64,0,93,,,,,,,,
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,64,1,,,,,,,,,,,,
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,64,1,356,68,2,6,,,,,,,,
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,80,1,,,,,,,,,,,,
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,80,1,50,64,1,13,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,101,1,64,87,3,59,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,101,1,356,68,2,6,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,101,1,1594,47,2,16,1,65,29,39,3,4,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,6,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,7,1,1,1,16,1,101,1,371,23,0,50,4,300,7,21,4,6,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,8,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,9,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,10,1,1,1,16,1,101,1,4724,86,3,84,3,305,6,41,4,6,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,11,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,101,1,,,,,,,,,,,,
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,116,1,,,,,,,,,,,,
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,116,1,115,12,2,20,4,255,5,6,5,3,,
