"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs4q01","cs4q02_1","cs4q02_2","cs4q03","cs4q04_1","cs4q04_2","cs4q04_3","cs4q04_4","cs4q04_5","cs4q04_6","cs4q04_7","cs4q04_8","cs4q04_9","cs4q04_10","cs4q04_11","cs4q04_12","cs4q05_1","cs4q05_2","cs4q05_3","cs4q05_4","cs4q05_5","cs4q05_6","cs4q05_7","cs4q05_8","cs4q05_9","cs4q05_10","cs4q05_11","cs4q05_12","cs4q06_1","cs4q06_2","cs4q07_a","cs4q07_b","cs4q08","cs4q09_1","cs4q09_2","cs4q10","cs4q11","cs4q12_a","cs4q12_b1","cs4q12_b2","cs4q13_1","cs4q13_2","cs4q14","cs4q15_1","cs4q15_2","cs4q16","cs4q17_1","cs4q17_2","cs4q18","cs4q19","cs4q20_1","cs4q20_2","cs4q21","cs4q22","cs4q23_1","cs4q23_2","cs4q24","cs4q25","cs4q26","cs4q27","cs4q28","cs4q29","cs4q30_1","cs4q30_2","cs4q31","cs4q32_1","cs4q32_2","cs4q33","cs4q34","cs4q35","cs4q36","cs4q37","cs4q38","cs4q39_1","cs4q39_2","cs4q40","cs4q41","cs4q42_1","cs4q42_2","cs4q43","cs4q44_a","cs4q44_b","cs4q44_c","cs4q44_d","cs4q44_e","cs4q44_f","cs4q45","cs4q46_1","cs4q46_2","cs4q47","cs4q48_1","cs4q48_2","cs4q49","cs4q50","cs4q51"
"01010101601",1,1,1,1,8,88,16,1,3,17,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,0,,5,3,2,17,,10,2,"SERA",112,,46,,1,,,1,,,9,0,0,,1,1,17,,1,0,0,0,0,1,,,1,,,1,1,1,1,1,1,,,1,1,0,,1,1,2,2,1,2,1,2,17,,2,17,,2,,
"01010201403",1,1,1,2,8,88,14,3,1,0,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,15,,5,1,2,15,,5,2,,30,,12,,1,,,1,,,7,1,0,,1,2,15,,1,0,0,0,0,2,15,,1,,,1,1,2,2,,,15,,1,1,0,,1,1,2,1,1,2,2,2,30,,2,15,,2,,
"01010300106",0,1,1,3,1,1,1,6,1,0,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,0,,10,2,1,,,,2,"SELEKLAKA SHERE",30,,12,,1,,,1,,,4,2,0,,1,1,0,,1,0,0,1,0,1,,,1,,,1,1,1,1,1,1,,,1,2,,,1,1,2,2,1,2,2,2,30,,1,,,1,10,1500
"01010301804",1,1,1,3,8,88,18,4,4,48,,2,1,12,,,,,,,,,,,1,12,,,,,,,,,,,18,,8,3,2,52,,20,2,"SERE",72,,25,,2,18,,2,18,,7,0,0,,1,2,18,,2,0,0,0,0,2,18,,1,,,1,1,2,2,,,18,,1,2,,,2,,,,,,,2,72,,2,18,,2,,
"01010500204",1,1,1,5,8,88,2,4,3,40,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,40,,1,2,2,40,,33,2,"ENDASLASE",70,,30,,1,,,1,,,6,0,0,,1,2,18,,1,0,0,0,0,1,,,1,,,1,1,2,2,,,40,,1,2,,,2,,,,,,,2,40,,2,40,,2,,
"01010600402",1,1,1,6,8,88,4,2,3,91,,2,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,6,,2,2,2,6,,5,2,"E/SILASE",91,,35,,2,6,,2,6,,7,0,0,,2,2,6,,1,0,0,0,0,2,6,,1,,,1,1,2,2,,,6,,1,2,,,2,,,,,,,2,6,,2,6,,2,,
"01020100207",1,1,2,1,8,88,2,7,3,38,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,14,,3,3,2,115,,100,2,".AKESUME",55,,30,,2,14,,1,,,7,0,0,,1,2,14,,1,0,0,0,0,2,14,,1,,,1,1,2,2,,,14,,1,2,,,2,,,,,,,2,55,,2,14,,2,,
"01020200802",1,1,2,2,8,88,8,2,3,6,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,12,,2,3,2,12,,5,2,"AKSUM",43,,24,,2,6,,2,6,,9,0,0,,1,1,12,,1,0,0,0,0,2,12,,1,,,1,1,2,2,,,6,,1,2,,,1,2,1,1,2,1,2,2,12,,2,12,,2,,
"01020301001",1,1,2,3,8,88,10,1,4,6,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,12,,5,3,2,26,,13,2,"AKESUME",90,,40,,2,12,,2,12,,11,0,0,,1,2,12,,2,0,0,0,0,2,12,,1,,,1,1,2,2,,,26,,1,2,,,2,,,,,,,2,26,,2,26,,2,,
"01020401702",1,1,2,4,8,88,17,2,2,21,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,21,,60,3,2,21,,20,2,"AXSUM",46,,35,,2,21,,2,21,,6,0,7,,2,2,21,,2,0,0,0,0,2,21,,1,,,1,1,2,2,,,21,,1,1,0,,2,,,,,,,2,21,,2,21,,1,600,8000
"01020601301",1,1,2,6,8,88,13,1,2,22,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,35,,80,1,2,35,,20,2,"AKSUM",31,,17,,2,31,,1,,,3,3,0,,1,1,15,,1,0,0,0,0,1,,,1,,,1,1,1,1,1,1,,,1,1,0,,1,1,2,2,1,1,1,2,31,,1,,,1,3000,15000
"01020700101",0,1,2,7,8,88,1,1,4,31,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,0,,10,2,1,,,,2,"AKSUM",37,,20,,1,,,1,,,1,1,0,,1,2,0,,1,0,0,0,0,1,,,1,,,1,1,2,1,1,1,,,1,2,,,2,,,,,,,2,37,,1,,,1,144,1400
"01020800603",1,1,2,8,8,88,6,3,4,12,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,25,,15,3,2,25,,10,2,"AKESUM",130,,52,,2,15,,2,15,,7,0,0,0,1,2,15,,1,0,0,0,0,2,25,,1,,,1,1,2,1,1,2,0,0,1,1,0,,1,2,1,1,2,2,2,2,25,,2,15,,2,,
"01020900602",1,1,2,9,8,88,6,2,3,40,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,10,,5,2,2,10,,7,2,"MEKELE",30,,19,,1,,,2,10,,13,0,0,,1,2,10,,1,0,0,0,0,1,,,1,,,1,1,2,1,1,1,,,1,2,,,1,1,2,2,1,2,2,2,10,,1,,,2,,
"01030100204",1,1,3,1,8,88,2,4,4,22,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,0,,2,2,2,25,,15,2,"A/GRATE",27,,20,,1,,,2,23,,6,1,0,,1,1,0,,2,0,0,0,0,2,27,,1,,,1,1,1,1,1,1,,,1,1,0,,2,,,,,,,2,27,,1,,,1,300,1500
"01030300605",1,1,3,3,8,88,6,5,1,15,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,0,,3,1,2,20,,15,2,"ADEGRAT",25,,20,,2,15,,2,15,,7,0,0,0,1,1,15,,1,0,0,0,2,2,15,,1,,,1,1,1,1,2,,,,1,1,0,20,1,1,1,1,1,1,1,2,15,,2,15,,2,,
"01030400101",1,1,3,4,8,88,1,1,1,0,,1,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,6,,15,3,2,43,,30,2,"ADIGRATE",43,,30,,2,6,,2,6,,7,1,0,,2,1,0,,1,0,0,1,1,2,6,,1,,,2,1,2,2,,,43,,1,1,0,,2,,,,,,,2,6,,2,6,,1,800,20000
