"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11"
"01010101601",1,1,1,1,8,88,16,1,1,4,5,1,2,1,11,1,1,1,11,1,2,,
"01010201403",1,1,1,2,8,88,14,3,1,11,5,1,1,1,11,1,1,2,5,,2,,
"01010300106",0,1,1,3,1,1,1,6,4,1,5,1,10,2,9,10,1,1,4,,1,1,1
"01010301804",1,1,1,3,8,88,18,4,1,,,1,5,1,1,11,2,,,,2,,
"01010500204",1,1,1,5,8,88,2,4,1,1,4,1,5,2,4,,1,1,11,4,2,,
"01010600402",1,1,1,6,8,88,4,2,1,11,10,1,6,2,1,11,1,1,1,,2,,
"01020100207",1,1,2,1,8,88,2,7,1,11,,1,10,1,1,11,1,1,11,,2,,
"01020200802",1,1,2,2,8,88,8,2,1,11,,1,20,1,1,11,2,,,,2,,
"01020301001",1,1,2,3,8,88,10,1,1,11,4,1,33,1,11,1,2,,,,2,,
"01020401702",1,1,2,4,8,88,17,2,1,4,,1,50,1,1,2,1,1,4,6,1,30,70
"01020601301",1,1,2,6,8,88,13,1,1,4,5,1,40,1,11,1,2,,,,2,,
"01020700101",0,1,2,7,8,88,1,1,1,4,11,1,12,1,1,11,1,1,1,11,1,80,20
"01020800603",1,1,2,8,8,88,6,3,1,4,11,1,5,1,1,11,1,1,11,,2,,
"01020900602",1,1,2,9,8,88,6,2,1,4,,1,2,2,11,,2,,,,2,,
"01030100204",1,1,3,1,8,88,2,4,1,4,10,1,10,3,10,,2,,,,2,,
"01030300605",1,1,3,3,8,88,6,5,1,4,,1,15,3,11,,2,,,,2,,
"01030400101",1,1,3,4,8,88,1,1,1,4,3,1,50,1,1,4,2,,,,2,,
"01030501202",1,1,3,5,8,88,12,2,1,,,1,3,2,11,,2,,,,2,,
"01030600608",1,1,3,6,8,88,6,8,1,4,,1,5,3,11,1,2,,,,2,,
"01030700116",0,1,3,7,1,0,1,16,4,5,,1,10,3,11,4,1,1,11,,1,1,1
"01030700709",1,1,3,7,8,88,7,9,1,,,1,0,3,1,11,2,,,,2,,
"01040101204",1,1,4,1,8,88,12,4,1,4,,1,1,2,4,,2,,,,2,,
"01040300109",0,1,4,3,1,0,1,9,1,4,10,1,20,3,11,,1,1,1,9,1,60,40
"01040300404",1,1,4,3,8,88,4,4,1,11,4,1,68,2,11,9,2,,,,2,,
"01040400103",1,1,4,4,8,88,1,3,1,4,,1,15,2,11,1,2,,,,2,,
"01040500701",1,1,4,5,8,88,7,1,1,3,11,1,3,2,4,9,2,,,,2,,
"01040600803",1,1,4,6,8,88,8,3,1,4,,1,10,3,11,11,1,1,1,,1,95,5
"01040800402",1,1,4,8,8,88,4,2,1,10,4,1,20,2,1,1,2,,,,2,,
"01050100105",1,1,5,1,8,88,1,5,1,4,5,1,11,3,9,4,1,3,4,1,1,28,21
"01050200201",1,1,5,2,8,88,2,1,1,4,10,1,6,1,11,9,1,1,9,1,2,,
"01050200712",1,1,5,2,8,88,7,12,1,5,4,1,13,1,1,4,1,1,9,4,2,,
"01050201503",1,1,5,2,8,88,15,3,1,4,5,1,29,1,1,4,1,1,1,4,1,25,20
"01050301501",1,1,5,3,8,88,15,1,1,4,5,1,5,1,1,4,1,1,1,4,1,40,36
"01050302304",1,1,5,3,8,88,23,4,1,4,5,1,7,1,11,9,1,1,1,4,2,,
"02010200102",0,2,1,2,4,1,1,2,1,4,10,2,,,,,1,1,11,,2,,
"02010300102",1,2,1,3,8,88,1,2,1,10,,1,25,1,1,11,1,1,1,2,2,,
"02010300601",1,2,1,3,8,88,6,1,1,,,2,,,,,1,1,1,,2,,
"02010300802",1,2,1,3,8,88,8,2,1,3,,2,,,,,1,1,1,3,2,,
"02010400201",1,2,1,4,8,88,2,1,1,2,,1,1,2,4,,2,,,,2,,
"02010500404",1,2,1,5,8,88,4,4,1,2,3,2,,,,,1,2,3,2,2,,
"02010501103",1,2,1,5,8,88,11,3,1,4,3,1,5,3,11,,2,,,,2,,
"02010600402",1,2,1,6,8,88,4,2,1,,,2,,,,,2,,,,2,,
"02030100101",0,2,3,1,1,1,1,1,1,10,,2,,,,,1,1,1,3,2,,
"02030200102",1,2,3,2,8,88,1,2,1,10,,2,,,,,1,1,3,1,2,,
"02030400601",1,2,3,4,8,88,6,1,1,3,4,2,,,,,1,1,4,1,2,,
"02030600601",1,2,3,6,8,88,6,1,1,6,3,1,22,1,1,3,1,1,1,,2,,
"03010100204",1,3,1,1,8,88,2,4,1,5,,2,,,,,2,,,,2,,
"03010400901",1,3,1,4,8,88,9,1,1,,,2,,,,,2,,,,2,,
"03010800701",1,3,1,8,8,88,7,1,1,3,5,1,12,1,1,9,2,,,,2,,
"03011001806",1,3,1,10,8,88,18,6,1,,,1,1,1,1,,2,,,,2,,
"03011100102",0,3,1,11,8,88,1,2,5,4,1,1,35,1,1,,1,1,4,5,2,,
"03011200203",1,3,1,12,8,88,2,3,1,4,,1,25,1,1,,2,,,,2,,
"03011400816",1,3,1,14,8,88,8,16,1,4,5,2,,,,,1,1,1,,2,,
"03011602804",1,3,1,16,8,88,28,4,1,5,,1,2,1,1,,2,,,,2,,
"03012000105",0,3,1,20,1,1,1,5,1,4,,2,,,,,1,1,1,,2,,
"03020100703",1,3,2,1,8,88,7,3,1,,,1,1,1,1,,2,,,,2,,
"03020202508",1,3,2,2,8,88,25,8,1,6,5,1,2,1,1,,1,1,1,,2,,
"03020400906",1,3,2,4,8,88,9,6,1,,,1,30,1,1,11,2,,,,2,,
"03020501907",1,3,2,5,8,88,19,7,1,4,,1,4,1,1,,2,,,,2,,
"03020703703",1,3,2,7,8,88,37,3,1,,,1,8,1,1,,2,,,,2,,
"03020900104",0,3,2,9,1,1,1,4,4,5,10,1,5,3,11,,2,,,,1,5,10
"03020900708",1,3,2,9,8,88,7,8,1,,,1,10,1,1,,2,,,,2,,
"03030100204",1,3,3,1,8,88,2,4,1,10,4,1,20,1,1,5,2,,,,2,,
"03030200108",0,3,3,2,2,2,1,8,4,5,11,1,5,3,11,9,1,1,9,5,1,50,20
"03030202104",1,3,3,2,8,88,21,4,1,,,1,15,3,11,11,2,,,,2,,
"03030302404",1,3,3,3,8,88,24,4,1,4,5,1,5,2,11,2,2,,,,2,,
"03030400906",1,3,3,4,8,88,9,6,1,4,5,1,8,2,1,11,2,,,,2,,
"03030501101",1,3,3,5,8,88,11,1,1,4,5,1,60,2,11,5,2,,,,2,,
"03030701002",1,3,3,7,8,88,10,2,1,4,,1,2,2,11,,1,1,1,,2,,
"03030801617",1,3,3,8,8,88,16,17,1,9,,1,30,3,11,,2,,,,2,,
"03031001701",1,3,3,10,8,88,17,1,1,5,4,1,5,1,1,5,2,,,,2,,
"03040301401",1,3,4,3,8,88,14,1,1,,,1,1,2,11,11,2,,,,2,,
"03040600801",1,3,4,6,8,88,8,1,1,4,6,1,50,3,11,1,2,,,,2,,
"03040901203",1,3,4,9,8,88,12,3,1,,,1,3,2,11,,2,,,,2,,
"03041100903",1,3,4,11,8,88,9,3,1,5,,1,2,2,11,,2,,,,2,,
"03041200105",0,3,4,12,1,0,1,5,5,4,,1,2,3,9,11,1,1,11,,2,,
"03041402101",1,3,4,14,8,88,21,1,1,5,6,1,30,3,1,11,2,,,,2,,
"03041600204",1,3,4,16,8,88,2,4,1,5,,1,1,2,9,6,2,,,,2,,
"03050101504",1,3,5,1,8,88,15,4,1,,,2,,,,,1,1,1,,2,,
"03050400305",1,3,5,4,8,88,3,5,1,4,,2,,,,,2,,,,2,,
"03050701204",1,3,5,7,8,88,12,4,1,,,1,30,3,11,1,2,,,,2,,
"03050900104",0,3,5,9,2,1,1,4,4,2,3,1,3,2,11,,1,1,11,9,2,,
"03051100307",1,3,5,11,8,88,3,7,1,4,5,1,5,2,11,5,1,1,11,1,2,,
"03051300702",1,3,5,13,8,88,7,2,1,4,,2,,,,,2,,,,2,,
"03051500703",1,3,5,15,8,88,7,3,1,3,6,1,2,2,6,5,1,1,4,1,2,,
"03052100808",1,3,5,21,8,88,8,8,1,,,1,30,1,1,,2,,,,2,,
"03060202603",1,3,6,2,8,88,26,3,1,5,,1,5,2,11,,2,,,,2,,
"03060402001",1,3,6,4,8,88,20,1,1,4,6,1,2,1,11,,1,2,1,,1,2,2
"03060602103",1,3,6,6,8,88,21,3,1,10,,1,5,2,11,,2,,,,2,,
"03060901807",1,3,6,9,8,88,18,7,1,5,10,1,2,1,1,,2,,,,2,,
"03061102207",1,3,6,11,8,88,22,7,1,3,5,1,50,1,1,4,2,,,,2,,
"03061400105",0,3,6,14,8,88,1,5,4,5,1,2,,,,,2,,,,2,,
"03061601207",1,3,6,16,8,88,12,7,1,,,1,32,2,11,,2,,,,2,,
"03070101406",1,3,7,1,8,88,14,6,1,5,4,1,20,2,1,11,1,1,1,4,2,,
"03070300105",1,3,7,3,8,88,1,5,1,4,5,1,2,2,11,,1,1,10,6,2,,
"03070401302",1,3,7,4,8,88,13,2,1,5,4,1,1,1,1,3,2,,,,1,5,0
"03070500105",0,3,7,5,8,88,1,5,1,,,2,,,,,2,,,,2,,
"03070502405",1,3,7,5,8,88,24,5,1,10,,1,50,1,1,,2,,,,2,,
"03070801402",1,3,7,8,8,88,14,2,1,5,10,1,2,1,1,11,1,1,1,11,2,,
"03071001703",1,3,7,10,8,88,17,3,1,5,8,1,25,1,1,10,1,1,1,,2,,
"03071301304",1,3,7,13,8,88,13,4,1,11,,1,5,2,1,11,2,,,,2,,
"03080201503",1,3,8,2,8,88,15,3,1,5,10,1,5,1,1,,1,1,1,,2,,
"03080300107",0,3,8,3,1,1,1,7,1,4,10,1,25,1,1,,1,1,11,9,2,,
"03080300603",1,3,8,3,8,88,6,3,1,4,,1,7,1,1,11,2,,,,2,,
"03080400503",1,3,8,4,8,88,5,3,1,9,5,1,4,1,1,,2,,,,2,,
"03090101202",1,3,9,1,8,88,12,2,1,,,1,2,1,11,,2,,,,2,,
"03090202501",1,3,9,2,8,88,25,1,1,5,3,1,15,1,1,,2,,,,2,,
"03090203201",1,3,9,2,8,88,32,1,1,,,1,5,1,9,,2,,,,2,,
"03090400702",1,3,9,4,8,88,7,2,1,,,1,1,1,1,,2,,,,2,,
"03090501102",1,3,9,5,8,88,11,2,1,4,,1,30,1,11,,2,,,,2,,
"03090600105",0,3,9,6,2,1,1,5,4,11,3,2,,,,,1,1,11,10,1,1,0
"03100101106",1,3,10,1,8,88,11,6,1,,,1,2,3,11,1,1,1,1,,2,,
"03100201601",1,3,10,2,8,88,16,1,1,,,1,5,3,11,,2,,,,2,,
"03100400103",0,3,10,4,3,1,1,3,1,2,10,1,10,3,1,11,1,1,11,10,1,5,1
"03100400408",1,3,10,4,8,88,4,8,1,4,,1,30,3,1,14,1,1,11,,1,7,5
"03120100101",1,3,12,1,8,88,1,1,1,,,1,4,3,9,,2,,,,2,,
"03120100303",1,3,12,1,8,88,3,3,1,,,1,5,3,9,,2,,,,2,,
"03120100504",1,3,12,1,8,88,5,4,1,,,1,10,3,9,,2,,,,2,,
"04010102202",1,4,1,1,8,88,22,2,1,4,5,2,,,,,2,,,,2,,
"04010601302",1,4,1,6,8,88,13,2,1,4,5,2,,,,,2,,,,2,,
"04011300501",1,4,1,13,8,88,5,1,1,4,,1,5,1,11,9,1,1,11,,2,,
"04011600103",0,4,1,16,2,1,1,3,1,4,10,1,2,2,6,9,1,1,11,,2,,
"04011802402",1,4,1,18,8,88,24,2,1,4,,2,,,,,1,1,11,,2,,
"04020401105",1,4,2,4,8,88,11,5,1,4,10,1,5,1,1,11,1,1,4,11,2,,
"04021001102",1,4,2,10,8,88,11,2,1,4,1,1,3,1,1,,2,,,,2,,
"04021400204",0,4,2,14,1,1,2,4,4,1,,1,10,1,1,,1,1,9,,2,,
"04021401801",1,4,2,14,8,88,18,1,1,,,1,5,1,1,1,1,1,1,,2,,
"04030201803",1,4,3,2,8,88,18,3,1,4,,2,,,,,1,1,11,,2,,
"04030800108",0,4,3,8,1,0,1,8,4,10,11,1,5,3,11,11,1,1,1,4,1,1,5
"04030800401",1,4,3,8,8,88,4,1,1,10,4,2,,,,,1,1,6,1,2,,
"04031400602",1,4,3,14,8,88,6,2,1,4,,2,,,,,1,1,11,,2,,
"04040101103",1,4,4,1,8,88,11,3,1,4,,1,3,1,11,,2,,,,2,,
"04040501902",1,4,4,5,8,88,19,2,1,4,,1,5,2,11,,1,1,11,,1,10,1
"04041000701",1,4,4,10,8,88,7,1,1,10,,1,20,3,11,,2,,,,2,,
"04041200104",0,4,4,12,8,88,1,4,4,1,10,1,10,3,11,9,2,,,,1,10,10
"04041401702",1,4,4,14,8,88,17,2,1,10,4,1,8,3,11,,1,1,11,,2,,
