"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","crop_name","crop_code","pp_s5q01","pp_s5q02","pp_s5q03","pp_s5q04_a","pp_s5q04_b","pp_s5q05_a","pp_s5q05_b","pp_s5q06","pp_s5q07","pp_s5q08","pp_s5q09","pp_s5q10","pp_s5q11","pp_s5q12_a","pp_s5q12_b","pp_s5q13","pp_s5q14_a","pp_s5q14_b","pp_s5q15_a","pp_s5q15_b","pp_s5q16","pp_s5q17","pp_s5q18_a","pp_s5q18_b","pp_s5q19_a","pp_s5q19_b"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,2,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,740,0,740
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,2,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,11,360,11,360
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,2,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,6,1,1,1,16,1,2,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,500,0,500
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,7,1,1,1,16,1,2,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,2,2,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,11,360,11,360
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,2,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,40,8,40
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,17,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,500,1,500
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,17,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,17,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,3,100,3,100
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,3,1,1,1,1,16,1,17,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,11,360,11,360
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,4,1,1,1,1,16,1,17,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,40,8,40
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,34,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,750,0,750
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,49,1,"TEFF",7,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,375,0,375
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,64,1,"BARLEY",1,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,250,0,750
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,80,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,2,,,0,375
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,101,1,"RED PEPPER",38,1,3,2,,,,,,,,,,,,,2,,,,,,1,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,101,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,750,0,750
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,101,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,9,230,9,230
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,101,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,4,80,4,80
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,6,1,1,1,16,1,101,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,710,0,710
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,7,1,1,1,16,1,101,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,490,0,490
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,8,1,1,1,16,1,101,1,"GRAZING LAND",85,,,,,,,,,,,,,,,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,9,1,1,1,16,1,101,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,1,470,1,470
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,10,1,1,1,16,1,101,1,"MILLET",3,1,3,2,,,,,,,,,,,,,2,,,,,,1,8,80,8,80
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,11,1,1,1,16,1,101,1,"TEMPORARY GR",86,,,,,,,,,,,,,,,,,,,,,,,,,,
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,101,1,"SESAME",27,1,3,2,,,,,,,,,,,,,2,,,,,,1,2,470,2,470
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,116,1,"MAIZE",2,1,3,2,,,,,,,,,,,,,2,,,,,,1,0,750,0,750
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,116,1,"SORGHUM",6,1,3,2,,,,,,,,,,,,,2,,,,,,1,7,100,7,100
