"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s5cq00","hh_s5cq0a","hh_s5cq04","hh_s5cq05"
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"A","Children 0-5 yea",0,0
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"B","Children 6-15 ye",0,0
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"C","Adults 16-65 yea",0,0
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,"D","Adults over 65 y",0,0
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"A","Children 0-5 yea",0,0
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"B","Children 6-15 ye",0,0
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"C","Adults 16-65 yea",0,0
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,"D","Adults over 65 y",0,0
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"A","Children 0-5 yea",0,0
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"B","Children 6-15 ye",0,0
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"C","Adults 16-65 yea",0,0
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,"D","Adults over 65 y",0,0
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"A","Children 0-5 yea",0,0
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"B","Children 6-15 ye",0,0
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"C","Adults 16-65 yea",0,0
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,"D","Adults over 65 y",0,0
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"A","Children 0-5 yea",2,6
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"B","Children 6-15 ye",6,18
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"C","Adults 16-65 yea",4,12
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,"D","Adults over 65 y",3,9
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,"A","Children 0-5 yea",0,0
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,"B","Children 6-15 ye",0,0
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,"C","Adults 16-65 yea",0,0
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,"D","Adults over 65 y",0,0
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,"A","Children 0-5 yea",0,0
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,"B","Children 6-15 ye",0,0
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,"C","Adults 16-65 yea",0,0
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,"D","Adults over 65 y",0,0
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,"A","Children 0-5 yea",0,0
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,"B","Children 6-15 ye",0,0
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,"C","Adults 16-65 yea",0,0
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,"D","Adults over 65 y",0,0
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,"A","Children 0-5 yea",0,0
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,"B","Children 6-15 ye",0,0
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,"C","Adults 16-65 yea",0,0
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,"D","Adults over 65 y",0,0
