"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"01010101601",1,1,1,1,8,88,16,1,1,6,27,3,10,10,9,3,2,3,3,1,2,1,,,1,55,3,1,3,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,5,5
"01010201403",1,1,1,2,8,88,14,3,1,3,7,2,9,11,10,2,3,3,3,2,1,1,,,1,60,3,3,3,1,1,1,1,1,4,4,4,4,4,4,4,3,5,5,5,4
"01010300106",0,1,1,3,1,1,1,6,1,7,2,3,10,11,12,2,3,4,2,2,2,2,0,,1,81,3,3,3,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"01010301804",1,1,1,3,8,88,18,4,1,2,3,7,10,9,11,3,3,3,3,1,2,1,,,1,200,1,1,3,1,1,1,3,1,4,4,4,4,4,4,2,2,4,4,4,3
"01010500204",1,1,1,5,8,88,2,4,1,6,3,27,10,11,11,2,3,2,3,1,1,1,,,1,35,1,1,1,1,1,1,1,1,3,3,3,3,2,2,4,4,3,2,2,5
"01010600402",1,1,1,6,8,88,4,2,1,6,3,2,10,10,10,3,3,2,3,2,1,1,,,1,17,1,1,1,1,1,1,9,1,1,1,1,1,3,4,3,3,4,3,4,4
"01020100207",1,1,2,1,8,88,2,7,1,6,3,7,9,8,11,3,3,2,3,3,1,1,,,1,50,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,3,3,4,5,5
"01020200802",1,1,2,2,8,88,8,2,1,7,3,2,11,9,10,2,3,2,3,3,1,1,,,1,300,1,1,1,1,1,1,1,1,4,4,4,4,4,3,4,2,5,4,5,3
"01020301001",1,1,2,3,8,88,10,1,1,7,8,6,11,10,9,3,3,4,3,3,1,1,,,1,800,3,1,1,1,1,1,1,1,5,5,5,5,1,4,5,4,4,3,5,4
"01020401702",1,1,2,4,8,88,17,2,1,8,6,7,11,9,10,2,3,2,3,3,2,1,,,1,750,3,3,3,1,1,1,9,3,4,3,3,2,4,4,5,3,5,4,5,4
"01020601301",1,1,2,6,8,88,13,1,1,2,6,7,8,9,10,2,3,4,2,3,1,1,,,2,,1,1,1,1,1,1,1,1,5,5,5,5,1,1,5,4,1,1,3,5
"01020700101",0,1,2,7,8,88,1,1,1,6,2,,10,10,,3,2,,3,3,1,2,2,,1,8,1,1,1,1,3,3,3,3,5,5,5,5,3,3,4,4,3,3,4,5
"01020800603",1,1,2,8,8,88,6,3,1,6,2,7,8,9,10,3,3,3,1,2,1,1,,,1,260,3,1,1,1,3,3,3,3,1,1,1,1,4,4,5,5,4,5,5,5
"01020900602",1,1,2,9,8,88,6,2,1,8,1,7,10,11,12,3,4,3,1,2,2,1,,,2,,3,1,3,1,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,9
"01030100204",1,1,3,1,8,88,2,4,1,1,2,6,7,8,10,2,3,,1,3,1,1,,,2,,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"01030300605",1,1,3,3,8,88,6,5,1,1,8,13,8,9,10,2,3,,3,3,2,1,,,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"01030400101",1,1,3,4,8,88,1,1,1,6,3,8,8,9,10,3,4,,2,3,3,1,,,1,358,3,3,3,1,1,1,9,1,1,3,4,4,4,4,5,4,5,3,5,3
"01030501202",1,1,3,5,8,88,12,2,1,1,8,,10,,,2,3,,2,2,1,1,,,1,100,3,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,4,9
"01030600608",1,1,3,6,8,88,6,8,1,1,2,3,10,9,8,2,3,4,2,2,2,1,,,1,1598,1,1,1,1,1,1,1,1,4,4,1,4,4,4,4,4,4,4,4,4
"01030700116",0,1,3,7,1,0,1,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01030700709",1,1,3,7,8,88,7,9,1,1,8,14,10,10,9,4,3,2,2,1,1,1,,,1,492,1,4,1,1,1,2,3,3,1,1,2,1,4,4,2,2,5,5,5,3
"01040101204",1,1,4,1,8,88,12,4,1,6,7,2,10,11,11,3,3,2,3,1,3,1,,,1,901,1,1,1,1,1,1,1,1,4,4,5,4,4,4,4,4,3,4,3,9
"01040300109",0,1,4,3,1,0,1,9,1,8,1,7,11,11,12,3,2,3,3,2,2,1,,,1,263,1,2,1,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,5,4
