"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s6aq00","hh_s6aq0a","hh_s6aq01","hh_s6aq02"
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,1,"Matches",1,4
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,2,"Batteries",1,20
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,3,"Candles, incense",2,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,4,"Laundry soap",1,36
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,5,"Hand soap",1,12
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,6,"Other personal care goods",2,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,7,"Charcoal",2,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,8,"Firewood",2,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,9,"Kerosene",1,8
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,11,"Transport",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,1,"Matches",1,2
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,2,"Batteries",1,10
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,3,"Candles, incense",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,4,"Laundry soap",1,18
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,5,"Hand soap",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,6,"Other personal care goods",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,7,"Charcoal",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,8,"Firewood",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,9,"Kerosene",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,11,"Transport",2,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,1,"Matches",1,1
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,2,"Batteries",1,10
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,3,"Candles, incense",2,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,4,"Laundry soap",1,20
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,5,"Hand soap",1,12
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,6,"Other personal care goods",1,6
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,7,"Charcoal",1,8
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,8,"Firewood",1,20
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,9,"Kerosene",1,10
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,10,"Cigarettes, tobacco, suret, ga",2,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,11,"Transport",2,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,1,"Matches",1,1
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,2,"Batteries",1,5
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,3,"Candles, incense",2,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,4,"Laundry soap",1,5
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,5,"Hand soap",2,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,6,"Other personal care goods",2,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,7,"Charcoal",2,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,8,"Firewood",2,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,9,"Kerosene",1,10
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,10,"Cigarettes, tobacco, suret, ga",2,
