"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","item","cs7q00","cs7q01_a","cs7q01_b","cs7q02","cs7q03"
"01010101601",1,1,1,1,8,88,16,1,1,1,"Livestock Disease",4,2004,20
"01010101601",1,1,1,1,8,88,16,1,2,1,"Drought",1,2004,50
"01010101601",1,1,1,1,8,88,16,1,3,1,"Other Bad (Specify)",11,2002,15
"01010101601",1,1,1,1,8,88,16,1,1,2,"PSNP",19,1999,27
"01010101601",1,1,1,1,8,88,16,1,2,2,"Improved Electricity",18,2002,30
"01010101601",1,1,1,1,8,88,16,1,3,2,"Development Project",12,2002,22
"01010101601",1,1,1,1,8,88,16,1,4,2,"Improved Transportation Services",17,2003,48
"01010201403",1,1,1,2,8,88,14,3,1,1,"Power Outage(s)",10,2002,50
"01010201403",1,1,1,2,8,88,14,3,2,1,"Sharp Change in Prices",7,2000,50
"01010201403",1,1,1,2,8,88,14,3,3,1,"Livestock Disease",4,2004,100
"01010201403",1,1,1,2,8,88,14,3,4,1,"Drought",1,2002,100
"01010201403",1,1,1,2,8,88,14,3,1,2,"Improved Transportation Services",17,2002,1
"01010201403",1,1,1,2,8,88,14,3,2,2,"PSNP",19,1999,22
"01010201403",1,1,1,2,8,88,14,3,3,2,"Development Project",12,2002,3
"01010201403",1,1,1,2,8,88,14,3,4,2,"New School",16,2003,50
"01010300106",0,1,1,3,1,1,1,6,1,1,"Sharp Change in Prices",7,2000,50
"01010300106",0,1,1,3,1,1,1,6,1,2,"New Road",15,2004,100
"01010300106",0,1,1,3,1,1,1,6,2,2,"Development Project",12,2002,65
"01010300106",0,1,1,3,1,1,1,6,3,2,"Improved Electricity",18,2003,70
"01010300106",0,1,1,3,1,1,1,6,4,2,"PSNP",19,2000,35
"01010301804",1,1,1,3,8,88,18,4,1,1,"Livestock Disease",4,2003,5
"01010301804",1,1,1,3,8,88,18,4,2,1,"Human Epidemic Disease",5,2004,50
"01010301804",1,1,1,3,8,88,18,4,3,1,"Drought",1,2004,25
"01010301804",1,1,1,3,8,88,18,4,1,2,"Development Project",12,2001,5
"01010301804",1,1,1,3,8,88,18,4,2,2,"New Health Facility",14,2002,20
"01010301804",1,1,1,3,8,88,18,4,3,2,"PSNP",19,1999,20
