"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs8q00","cs8q01","cs8q02","cs8q03","cs8q04","cs8q05_a","cs8q05_b","cs8q05_c","cs8q05_d","cs8q05_e","cs8q05_f","cs8q05_g","cs8q05_h","cs8q06","cs8q07","cs8q08","cs8q09","cs8q10","cs8q11_a","cs8q11_b","cs8q11_c","cs8q11_d"
"01010101601",1,1,1,1,8,88,16,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,0,0,,2,2,2,2
"01010101601",1,1,1,1,8,88,16,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,5,0,0,,,,,
"01010101601",1,1,1,1,8,88,16,1,3,2,2,2,2,,,,,,,,,,1,0,0,,2,2,2,2
"01010101601",1,1,1,1,8,88,16,1,4,1,1,1,1,1,2,1,1,1,2,2,2,1,1,0,0,,2,2,2,2
"01010101601",1,1,1,1,8,88,16,1,5,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,0,,1,1,2,2
"01010101601",1,1,1,1,8,88,16,1,6,1,1,1,1,1,2,1,1,2,2,1,2,1,1,18000,50000,1,2,1,2,2
"01010101601",1,1,1,1,8,88,16,1,7,2,2,2,2,,,,,,,,,,1,10274,20000,1,1,1,1,1
"01010101601",1,1,1,1,8,88,16,1,8,1,1,1,1,1,2,1,1,2,2,2,2,1,1,0,0,,2,2,2,2
"01010101601",1,1,1,1,8,88,16,1,9,1,1,1,1,1,2,1,1,2,2,2,2,1,1,0,0,,2,2,2,2
"01010101601",1,1,1,1,8,88,16,1,10,1,1,1,1,1,2,1,1,2,2,2,2,1,5,0,0,,,,,
"01010101601",1,1,1,1,8,88,16,1,11,2,2,2,2,,,,,,,,,,1,0,0,,2,2,2,2
"01010201403",1,1,1,2,8,88,14,3,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,0,0,,2,1,2,2
"01010201403",1,1,1,2,8,88,14,3,2,1,1,1,1,1,1,1,1,2,2,2,2,1,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,3,2,2,2,2,,,,,,,,,,1,3000,0,1,1,1,2,2
"01010201403",1,1,1,2,8,88,14,3,4,1,1,1,1,1,2,1,2,2,2,2,2,1,3,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,5,1,1,1,1,1,1,1,1,2,2,2,2,1,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,6,1,1,1,1,1,2,1,1,2,2,1,2,1,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,7,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,8,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,9,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,10,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01010201403",1,1,1,2,8,88,14,3,11,2,2,2,2,,,,,,,,,,1,1700,0,1,1,1,2,2
"01010300106",0,1,1,3,1,1,1,6,1,1,1,1,1,1,2,1,2,2,2,2,2,1,5,0,0,,,,,
"01010300106",0,1,1,3,1,1,1,6,2,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010300106",0,1,1,3,1,1,1,6,3,2,2,2,2,,,,,,,,,,1,0,0,,2,1,2,2
"01010300106",0,1,1,3,1,1,1,6,4,2,2,2,2,,,,,,,,,,5,0,0,,,,,
"01010300106",0,1,1,3,1,1,1,6,5,1,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
"01010300106",0,1,1,3,1,1,1,6,6,2,1,1,1,1,2,2,2,2,2,2,2,1,5,0,0,,,,,
