"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s9q01","ph_s9q02_a","ph_s9q02_b","ph_s9q03_a","ph_s9q03_b","ph_s9q04_a","ph_s9q04_b","ph_s9q05_a","ph_s9q05_b","ph_s9q06","ph_s9q07","ph_s9q08_a","ph_s9q08_b","ph_s9q09","ph_s9q10","ph_s9q11","ph_s9q12_a","ph_s9q12_b","ph_s9q13_a","ph_s9q13_b"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,2,1,"SORGHUM",6,1,30,2,0,900,15,3,0,810,2,2,,,2,,,600,0,2,3
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,2,"MILLET",3,1,8,2,0,200,23,2,0,200,2,2,,,2,,,200,0,2,2
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,17,1,"MILLET",3,1,18,2,0,480,3,3,0,470,2,2,,,2,,,80,0,2,3
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,3,1,1,1,1,16,1,17,1,"SORGHUM",6,1,2,3,1,30,17,3,0,950,2,2,,,2,,,600,0,2,3
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,101,1,"MILLET",3,1,15,3,0,490,30,3,0,480,2,2,,,2,,,100,0,2,6
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,7,1,1,1,16,1,101,1,"SESAME",27,1,17,2,0,210,2,3,0,210,2,2,,,2,,,100,0,2,3
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,10,1,1,1,16,1,101,1,"MILLET",3,1,16,2,0,210,1,3,0,200,2,2,,,2,,,200,0,2,6
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,116,1,"MAIZE",2,1,23,1,1,0,9,2,0,890,2,2,,,1,2,25,8,0,1,2
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,4,1,1,1,1,16,1,116,1,"SESAME",27,1,3,2,0,250,18,2,0,240,2,2,,,2,,,200,0,2,2
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,146,1,"MAIZE",2,1,15,2,0,92,30,2,0,840,2,2,,,2,,,10,0,2,3
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,1,1,"TEFF",7,1,4,3,0,470,20,3,0,470,2,2,,,2,,,170,0,3,3
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,2,2,1,1,2,14,3,1,1,"CHICK PEAS",11,1,30,3,,,,,,,,2,,,,,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,7,2,1,1,2,14,3,1,1,"CHICK PEAS",11,1,30,3,,,,,,,,2,,,,,,,,,
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,9,1,1,1,2,14,3,1,1,"MILLET",3,1,7,3,0,360,28,3,0,360,2,2,,,2,,,260,0,3,3
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,11,1,"HORSE BEANS",13,1,,,,,,,,,2,2,,,1,5,100,,,3,3
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,7,1,1,2,14,3,11,1,"LINESEED",23,1,4,2,0,300,10,3,0,300,2,2,,,2,,,8,0,2,3
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,2,1,1,2,14,3,16,1,"MAIZE",2,1,6,2,1,670,30,2,1,610,2,2,,,1,3,25,200,0,2,2
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,26,1,"TEFF",7,1,1,2,0,330,7,3,0,330,2,2,,,2,,,70,0,2,3
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,26,1,"HORSE BEANS",13,1,10,2,0,0,0,0,0,0,2,2,,,1,2,100,,,2,2
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,5,1,1,2,14,3,46,1,"BARLEY",1,1,7,2,0,300,24,2,0,300,2,,,,2,,,10,500,2,2
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,46,1,"MAIZE",2,1,2,2,1,40,22,2,1,40,2,,,,2,,,250,0,2,2
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,8,1,1,1,2,14,3,46,1,"TEFF",7,1,2,2,0,540,19,2,0,540,2,,,,2,,,200,0,2,2
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,9,1,1,1,2,14,3,46,1,"CHICK PEAS",11,1,7,4,,,,,,,,,,,,,,,,,
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,4,1,1,2,14,3,61,1,"BARLEY",1,1,2,2,0,500,17,2,0,500,2,2,,,2,,,30,0,2,2
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,6,1,1,2,14,3,61,1,"BARLEY",1,1,2,2,0,590,17,2,0,590,2,2,,,2,,,24,0,2,2
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,6,3,1,1,2,14,3,61,1,"HORSE BEANS",13,1,2,3,0,370,17,3,0,370,2,2,,,2,,,10,0,3,3
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,7,1,1,1,2,14,3,61,1,"CHICK PEAS",11,1,8,4,,,,,,,,,,,,,,,,,
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,2,1,1,1,2,14,3,106,1,"TEFF",7,1,7,3,0,300,23,3,0,300,2,2,,,2,,,100,0,3,3
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,3,1,1,1,2,14,3,106,1,"SORGHUM",6,1,27,3,,,,,,,,,,,,,,,,,
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,2,1,1,3,1,6,52,1,"MAIZE",2,1,17,3,0,280,2,4,0,260,2,2,,,2,,,2,80,3,4
"0101030010613601","01010300106136","01010300106",0,768.159851074219,1,2,1,1,3,1,6,136,1,"MAIZE",2,1,17,2,1,880,3,3,1,820,2,2,,,2,,,7,0,2,3
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,7,1,1,3,18,4,4,1,"MAIZE",2,1,6,3,1,300,21,3,1,200,2,2,,,2,,,25,0,3,3
"0101030180400401","01010301804004","01010301804",1,3901.22436523438,1,9,1,1,3,18,4,4,1,"TEFF",7,1,2,3,0,850,17,3,0,780,2,2,,,2,,,17,0,3,3
"0101030180401901","01010301804019","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,19,1,"TEFF",7,1,13,3,0,600,28,3,0,550,2,2,,,1,8,25,120,0,3,3
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,1,4,1,1,3,18,4,34,1,"HARICOT BEANS",12,1,8,3,0,800,23,3,0,720,2,2,,,2,,,30,0,3,3
"0101030180403401","01010301804034","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,34,1,"TEFF",7,1,3,3,0,760,18,3,0,700,2,2,,,1,8,25,100,0,3,3
"0101030180404901","01010301804049","01010301804",1,3901.22436523438,2,1,1,1,3,18,4,49,1,"MILLET",3,1,11,3,1,0,26,3,0,820,2,2,,,2,,,28,500,3,3
"0101030180406901","01010301804069","01010301804",1,3901.22436523438,1,5,1,1,3,18,4,69,1,"HORSE BEANS",13,1,11,3,0,880,26,3,0,770,2,2,,,1,13,25,16,0,2,3
"0101030180408501","01010301804085","01010301804",1,3901.22436523438,1,4,1,1,3,18,4,85,1,"MAIZE",2,1,5,3,1,190,20,3,1,70,2,2,,,1,3,25,75,0,3,3
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,10,1,1,3,18,4,115,1,"MAIZE",2,1,15,3,1,90,30,3,0,940,2,2,,,1,3,25,10,0,3,3
"0101030180411501","01010301804115","01010301804",1,3901.22436523438,1,13,1,1,3,18,4,115,1,"MILLET",3,1,18,2,1,210,3,3,1,50,2,2,,,2,,,25,0,2,3
