"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_saq09","hh_saq13_a","hh_saq13_b","hh_saq13_c","hh_saq14_a","hh_saq14_b","hh_saq15_a","hh_saq15_b","hh_saq16_a","hh_saq16_b","hh_saq16_c","hh_saq16_d","hh_saq16_e","hh_saq16_f","hh_saq16_g","hh_saq16_h","hh_saq16_i","hh_saq16_j","hh_saq16_k","hh_saq16_l","hh_saq16_m","hh_saq16_n","hh_saq16_o","hh_saq16_p","hh_saq17_a","hh_saq17_b","hh_saq17_c","hh_saq18_a","hh_saq18_b","hh_saq19_a","hh_saq19_b","hh_saq20_a","hh_saq20_b","hh_saq20_c","hh_saq20_d","hh_saq20_e","hh_saq20_f","hh_saq20_g","hh_saq20_h","hh_saq20_i","hh_saq20_j","hh_saq20_k","hh_saq20_l","hh_saq20_m","hh_saq20_n","hh_saq20_o","hh_saq20_p","hh_saq21_a","hh_saq21_b","hh_saq21_c","hh_saq22_a","hh_saq22_b","hh_saq23_a","hh_saq23_b","hh_saq24_a","hh_saq24_b","hh_saq24_c","hh_saq24_d","hh_saq24_e","hh_saq24_f","hh_saq24_g","hh_saq24_h","hh_saq24_i","hh_saq24_j","hh_saq24_k","hh_saq24_l","hh_saq24_m","hh_saq24_n","hh_saq24_o","hh_saq24_p","hh_saq26_a","hh_saq26_b","hh_saq26_c","hh_saq26_d","hh_saq27_a","hh_saq27_b","hh_saq27_c","hh_saq27_d","hh_saq28_a","hh_saq28_b","hh_saq28_c","hh_saq28_d","hh_saq29_a","hh_saq29_b","hh_saq29_c","hh_saq29_d","hh_saq30_a","hh_saq30_b","hh_saq30_c","hh_saq30_d","hh_saq31_a","hh_saq31_b","hh_saq31_c","hh_saq31_d","hh_saq32_a","hh_saq32_b","hh_saq32_c","hh_saq32_d","hh_saq33_a","hh_saq33_b"
"01010101601002","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,2,8,17,5,2004,1,30,7,45,,,,,,,,,,,,,,,,,18,5,2004,2,0,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,8,8,2004,1,
"01010101601017","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,17,7,21,5,2004,2,30,6,30,,,,,,,,,,,,,,,,,21,5,2004,8,30,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
"01010101601034","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,34,1,16,5,2004,2,0,8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
"01010101601049","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,49,4,9,5,2004,8,0,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
"01010101601064","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,64,4,17,5,2004,2,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,8,8,2004,1,
"01010101601080","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,80,4,12,5,2004,12,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
"01010101601087","01010101601",1,1887.64611816406,1,1,1,8,88,16,1,87,5,13,5,2004,8,0,12,0,,,,,,,,,,,,,,,,,19,5,2004,8,0,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,8,8,2004,1,
"01010101601101","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,101,4,16,5,2004,2,0,6,45,,,,,,,,,,,,,,,,,19,5,2004,10,0,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,8,8,2004,1,
"01010101601116","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,116,4,15,5,2004,1,0,6,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,9,8,2004,1,
"01010101601131","01010101601",1,2236.13452148438,1,1,1,8,88,16,1,131,1,26,5,2004,2,0,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,5,2004,,27,5,2004,,,,,,28,6,2004,,,,,,,,,,8,8,2004,1,
