"holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_saq10","ph_saq12","ph_saq13","ph_saq14_a","ph_saq14_b","ph_saq14_c","ph_saq15_a","ph_saq15_b","ph_saq16_a","ph_saq16_b","ph_saq17_a","ph_saq17_b","ph_saq17_c","ph_saq17_d","ph_saq17_e","ph_saq17_f","ph_saq17_g","ph_saq17_h","ph_saq17_i","ph_saq17_j","ph_saq17_k","ph_saq17_l","ph_saq17_m","ph_saq17_n","ph_saq18_a","ph_saq18_b","ph_saq18_c","ph_saq19_a","ph_saq19_b","ph_saq20_a","ph_saq20_b","ph_saq21_a","ph_saq21_b","ph_saq21_c","ph_saq21_d","ph_saq21_e","ph_saq21_f","ph_saq21_g","ph_saq21_h","ph_saq21_i","ph_saq21_j","ph_saq21_k","ph_saq21_l","ph_saq21_m","ph_saq21_n","ph_saq22_a","ph_saq22_b","ph_saq22_c","ph_saq23_a","ph_saq23_b","ph_saq24_a","ph_saq24_b","ph_saq25_a","ph_saq25_b","ph_saq25_c","ph_saq25_d","ph_saq25_e","ph_saq25_f","ph_saq25_g","ph_saq25_h","ph_saq25_i","ph_saq25_j","ph_saq25_k","ph_saq25_l","ph_saq25_m","ph_saq25_n","ph_saq27_a","ph_saq27_b","ph_saq27_c","ph_saq27_d","ph_saq28_a","ph_saq28_b","ph_saq28_c","ph_saq28_d","ph_saq29_a","ph_saq29_b","ph_saq29_c","ph_saq29_d","ph_saq30_a","ph_saq30_b","ph_saq30_c","ph_saq30_d","ph_saq31_a","ph_saq31_b","ph_saq31_c","ph_saq31_d","ph_saq32_a","ph_saq32_b","ph_saq32_c","ph_saq32_d","ph_saq33_a","ph_saq33_b","ph_saq33_c","ph_saq33_d","ph_saq34_a","ph_saq34_b","ph_version"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,1,1,16,1,2,1,8,,3,2,6,2004,2,0,6,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,1,1,16,1,17,1,7,,3,8,10,2004,8,0,10,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101010160103401","01010101601034","01010101601",1,2236.13452148438,1,1,1,16,1,34,1,1,,3,2,4,2004,2,0,4,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,16,9,2004,,22,9,2004,1,,1.20000004768372
"0101010160104901","01010101601049","01010101601",1,2236.13452148438,1,1,1,16,1,49,1,4,,1,2,6,2004,2,0,6,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101010160106401","01010101601064","01010101601",1,2236.13452148438,1,1,1,16,1,64,1,4,,3,8,12,2004,8,0,12,15,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101010160108001","01010101601080","01010101601",1,2236.13452148438,1,1,1,16,1,80,1,4,,3,2,4,2004,2,0,4,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,16,9,2004,,22,9,2004,1,,1.20000004768372
"0101010160110101","01010101601101","01010101601",1,2236.13452148438,1,1,1,16,1,101,1,4,,3,2,6,2004,2,0,6,10,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101010160111601","01010101601116","01010101601",1,2236.13452148438,1,1,1,16,1,116,1,4,,3,2,6,2004,2,0,6,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101010160113101","01010101601131","01010101601",1,2236.13452148438,1,1,1,16,1,131,1,1,,3,3,6,2004,3,0,6,45,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
"0101010160114601","01010101601146","01010101601",1,2236.13452148438,1,1,1,16,1,146,1,2,,3,8,11,2004,8,0,11,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,4,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101020140300101","01010201403001","01010201403",1,2607.7529296875,1,1,2,14,3,1,1,9,,3,18,5,2004,5,10,5,50,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,8,9,2004,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101020140301101","01010201403011","01010201403",1,2607.7529296875,1,1,2,14,3,11,1,5,,3,14,5,2004,7,30,8,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,,,,,,,,,22,9,2004,,24,9,2004,1,,1.20000004768372
"0101020140301601","01010201403016","01010201403",1,2607.7529296875,1,1,2,14,3,16,1,6,,3,23,5,2004,3,0,3,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101020140302601","01010201403026","01010201403",1,2607.7529296875,1,1,2,14,3,26,1,1,,1,15,5,2004,5,0,6,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,22,9,2004,,24,9,2004,1,,1.20000004768372
"0101020140303101","01010201403031","01010201403",1,2607.7529296875,1,1,2,14,3,31,1,7,,3,13,5,2004,4,0,5,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101020140304601","01010201403046","01010201403",1,2607.7529296875,1,1,2,14,3,46,1,10,,3,28,5,2004,9,0,9,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,,,,,,,,,22,9,2004,,23,9,2004,1,,1.20000004768372
"0101020140306101","01010201403061","01010201403",1,2607.7529296875,1,1,2,14,3,61,1,7,,3,24,5,2004,2,0,3,0,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,8,9,2004,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101020140309101","01010201403091","01010201403",1,2607.7529296875,1,1,2,14,3,91,1,8,,3,18,5,2004,5,0,5,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,22,9,2004,,24,9,2004,1,,1.20000004768372
"0101020140310601","01010201403106","01010201403",1,2607.7529296875,1,1,2,14,3,106,1,4,,3,16,5,2004,3,0,3,45,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,22,9,2004,,24,9,2004,1,,1.20000004768372
"0101020140313601","01010201403136","01010201403",1,2607.7529296875,1,1,2,14,3,136,1,2,,3,17,5,2004,10,0,10,30,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,30,5,2004,,7,6,2004,,,,,,7,9,2004,,,,,,21,9,2004,,23,9,2004,1,,1.20000004768372
"0101030010605201","01010300106052","01010300106",0,768.159851074219,1,1,3,1,6,52,1,4,,1,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,1,6,2004,,8,6,2004,,,,,,,,,,,,,,21,9,2004,,22,9,2004,1,,1.20000004768372
